Hourly Wages,1 Adult,1 Adult 1 Child,1 Adult 2 Children,1 Adult 3 Children,2 Adults (One Working),2 Adults (One Working) 1 Child,2 Adults (One Working) 2 Children,2 Adults (One Working) 3 Children,2 Adults,2 Adults 1 Child,2 Adults 2 Children,2 Adults 3 Children,FIPS Code,Location,year
Living Wage,$10.17,$20.78,$25.71,$32.59,$16.72,$20.12,$22.54,$25.26,$8.36,$11.56,$14.12,$16.83,01,Alabama,2015
Living Wage,$10.87,$21.27,$26.20,$33.43,$17.27,$20.61,$23.03,$26.09,$8.64,$11.81,$14.37,$17.25,01001,"Autauga County, Alabama",2015
Living Wage,$10.00,$21.10,$26.03,$33.68,$17.14,$20.44,$22.86,$26.35,$8.57,$11.72,$14.28,$17.38,01003,"Baldwin County, Alabama",2015
Living Wage,$9.98,$20.50,$25.43,$31.80,$16.18,$19.84,$22.26,$24.46,$8.09,$11.42,$13.98,$16.43,01005,"Barbour County, Alabama",2015
Living Wage,$10.33,$21.17,$26.10,$32.98,$17.20,$20.51,$22.93,$25.64,$8.60,$11.76,$14.32,$17.02,01007,"Bibb County, Alabama",2015
Living Wage,$10.33,$21.17,$26.10,$32.98,$17.20,$20.51,$22.93,$25.64,$8.60,$11.76,$14.32,$17.02,01009,"Blount County, Alabama",2015
Living Wage,$9.91,$20.03,$24.96,$31.52,$16.24,$19.38,$21.79,$24.18,$8.12,$11.19,$13.75,$16.29,01011,"Bullock County, Alabama",2015
Living Wage,$9.73,$20.03,$24.96,$32.03,$15.92,$19.38,$21.79,$24.70,$7.96,$11.19,$13.75,$16.55,01013,"Butler County, Alabama",2015
Living Wage,$9.98,$20.53,$25.46,$32.04,$16.29,$19.87,$22.29,$24.71,$8.15,$11.44,$14.00,$16.56,01015,"Calhoun County, Alabama",2015
Living Wage,$10.11,$20.67,$25.60,$32.01,$16.30,$20.01,$22.43,$24.68,$8.15,$11.51,$14.07,$16.54,01017,"Chambers County, Alabama",2015
Living Wage,$9.91,$20.03,$24.96,$32.12,$16.21,$19.38,$21.79,$24.78,$8.10,$11.19,$13.75,$16.59,01019,"Cherokee County, Alabama",2015
Living Wage,$9.53,$20.03,$24.96,$31.59,$16.04,$19.38,$21.79,$24.25,$8.02,$11.19,$13.75,$16.33,01021,"Chilton County, Alabama",2015
Living Wage,$10.17,$20.74,$25.67,$32.11,$16.36,$20.09,$22.51,$24.77,$8.18,$11.55,$14.11,$16.59,01023,"Choctaw County, Alabama",2015
Living Wage,$9.78,$20.03,$24.96,$31.81,$15.97,$19.38,$21.79,$24.47,$7.99,$11.19,$13.75,$16.44,01025,"Clarke County, Alabama",2015
Living Wage,$9.68,$20.03,$24.96,$31.59,$15.87,$19.38,$21.79,$24.26,$7.93,$11.19,$13.75,$16.33,01027,"Clay County, Alabama",2015
Living Wage,$10.10,$20.66,$25.59,$32.00,$16.30,$20.00,$22.42,$24.67,$8.15,$11.51,$14.06,$16.54,01029,"Cleburne County, Alabama",2015
Living Wage,$9.89,$20.14,$25.07,$31.80,$16.08,$19.49,$21.91,$24.47,$8.04,$11.25,$13.81,$16.44,01031,"Coffee County, Alabama",2015
Living Wage,$9.87,$20.10,$25.03,$31.66,$16.06,$19.44,$21.86,$24.32,$8.03,$11.23,$13.78,$16.36,01033,"Colbert County, Alabama",2015
Living Wage,$9.77,$20.03,$24.96,$32.12,$15.96,$19.38,$21.79,$24.78,$7.98,$11.19,$13.75,$16.59,01035,"Conecuh County, Alabama",2015
Living Wage,$9.91,$20.03,$24.96,$31.22,$16.24,$19.38,$21.79,$23.89,$8.12,$11.19,$13.75,$16.15,01037,"Coosa County, Alabama",2015
Living Wage,$9.78,$20.03,$24.96,$32.00,$15.97,$19.38,$21.79,$24.67,$7.98,$11.19,$13.75,$16.54,01039,"Covington County, Alabama",2015
Living Wage,$9.65,$20.03,$24.96,$31.87,$15.84,$19.38,$21.79,$24.53,$7.92,$11.19,$13.75,$16.47,01041,"Crenshaw County, Alabama",2015
Living Wage,$9.97,$20.11,$25.04,$31.38,$16.21,$19.46,$21.87,$24.04,$8.10,$11.23,$13.79,$16.22,01043,"Cullman County, Alabama",2015
Living Wage,$9.38,$20.04,$24.97,$32.06,$16.01,$19.38,$21.80,$24.72,$8.01,$11.20,$13.75,$16.56,01045,"Dale County, Alabama",2015
Living Wage,$9.27,$20.03,$24.96,$31.35,$15.84,$19.38,$21.79,$24.02,$7.92,$11.19,$13.75,$16.21,01047,"Dallas County, Alabama",2015
Living Wage,$9.50,$20.71,$25.64,$32.09,$16.49,$20.06,$22.47,$24.75,$8.24,$11.53,$14.09,$16.58,01049,"DeKalb County, Alabama",2015
Living Wage,$10.87,$21.27,$26.20,$33.43,$17.27,$20.61,$23.03,$26.09,$8.64,$11.81,$14.37,$17.25,01051,"Elmore County, Alabama",2015
Living Wage,$9.93,$20.03,$24.96,$31.22,$16.24,$19.38,$21.79,$23.89,$8.12,$11.19,$13.75,$16.15,01053,"Escambia County, Alabama",2015
Living Wage,$9.19,$20.18,$25.11,$31.41,$16.06,$19.53,$21.94,$24.08,$8.03,$11.27,$13.83,$16.24,01055,"Etowah County, Alabama",2015
Living Wage,$9.91,$20.03,$24.96,$31.48,$16.24,$19.38,$21.79,$24.15,$8.12,$11.19,$13.75,$16.28,01057,"Fayette County, Alabama",2015
Living Wage,$9.65,$20.03,$24.96,$31.22,$15.84,$19.38,$21.79,$23.89,$7.92,$11.19,$13.75,$16.15,01059,"Franklin County, Alabama",2015
Living Wage,$9.78,$20.27,$25.20,$31.88,$16.16,$19.61,$22.03,$24.55,$8.08,$11.31,$13.87,$16.48,01061,"Geneva County, Alabama",2015
Living Wage,$9.71,$21.06,$25.99,$32.55,$16.68,$20.41,$22.82,$25.22,$8.34,$11.71,$14.27,$16.81,01063,"Greene County, Alabama",2015
Living Wage,$9.71,$21.06,$25.99,$32.55,$16.68,$20.41,$22.82,$25.22,$8.34,$11.71,$14.27,$16.81,01065,"Hale County, Alabama",2015
Living Wage,$9.61,$20.03,$24.96,$32.12,$15.98,$19.38,$21.79,$24.78,$7.99,$11.19,$13.75,$16.59,01067,"Henry County, Alabama",2015
Living Wage,$9.78,$20.27,$25.20,$31.88,$16.16,$19.61,$22.03,$24.55,$8.08,$11.31,$13.87,$16.48,01069,"Houston County, Alabama",2015
Living Wage,$9.91,$20.03,$24.96,$31.22,$16.24,$19.38,$21.79,$23.89,$8.12,$11.19,$13.75,$16.15,01071,"Jackson County, Alabama",2015
Living Wage,$10.33,$21.17,$26.10,$32.98,$17.20,$20.51,$22.93,$25.64,$8.60,$11.76,$14.32,$17.02,01073,"Jefferson County, Alabama",2015
Living Wage,$9.91,$20.03,$24.96,$31.22,$16.24,$19.38,$21.79,$23.89,$8.12,$11.19,$13.75,$16.15,01075,"Lamar County, Alabama",2015
Living Wage,$9.87,$20.10,$25.03,$31.66,$16.06,$19.44,$21.86,$24.32,$8.03,$11.23,$13.78,$16.36,01077,"Lauderdale County, Alabama",2015
