"Unemployment and median household income for the U.S., States, and counties, 2007-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources: Unemployment - Bureau of Labor Statistics - LAUS data - http://www.bls.gov/lau/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median Household Income - Census Bureau - SAIPE data - http://www.census.gov/did/www/saipe/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rural Classifications - USDA, Economic Research Service - http://www.ers.usda.gov/topics/rural-economy-population/rural-classifications.aspx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIPStxt,State,Area_name,Rural_urban_continuum_code_2003,Urban_influence_code_2003,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Civilian_labor_force_2007,Employed_2007,Unemployed_2007,Unemployment_rate_2007,Civilian_labor_force_2008,Employed_2008,Unemployed_2008,Unemployment_rate_2008,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009,Civilian_labor_force_2010,Employed_2010,Unemployed_2010,Unemployment_rate_2010,Civilian_labor_force_2011,Employed_2011,Unemployed_2011,Unemployment_rate_2011,Civilian_labor_force_2012,Employed_2012,Unemployed_2012,Unemployment_rate_2012,Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Civilian_labor_force_2015,Employed_2015,Unemployed_2015,Unemployment_rate_2015,Median_Household_Income_2015,Med_HH_Income_Percent_of_State_Total_2015
01000,AL,Alabama, , , , ,"2,175,612","2,089,127","86,485",4.0,"2,176,489","2,053,477","123,012",5.7,"2,162,999","1,924,747","238,252",11.0,"2,196,042","1,964,559","231,483",10.5,"2,202,670","1,990,413","212,257",9.6,"2,174,972","2,001,849","173,123",8.0,"2,167,238","2,010,431","156,807",7.2,"2,161,313","2,014,284","147,029",6.8,"2,146,157","2,015,189","130,968",6.1,"$44,833",100.0
01001,AL,"Autauga County, AL",2,2,2,2,"24,383","23,577",806,3.3,"24,687","23,420","1,267",5.1,"24,703","22,301","2,402",9.7,"25,713","23,431","2,282",8.9,"25,836","23,677","2,159",8.4,"25,724","23,944","1,780",6.9,"25,731","24,126","1,605",6.2,"25,597","24,097","1,500",5.9,"25,308","23,981","1,327",5.2,"$56,580",126.2
01003,AL,"Baldwin County, AL",4,5,3,2,"82,659","80,099","2,560",3.1,"83,223","79,372","3,851",4.6,"82,451","74,403","8,048",9.8,"83,459","75,120","8,339",10.0,"85,045","77,418","7,627",9.0,"84,362","78,009","6,353",7.5,"85,018","79,367","5,651",6.6,"86,400","81,084","5,316",6.2,"87,316","82,525","4,791",5.5,"$52,387",116.8
01005,AL,"Barbour County, AL",6,6,6,6,"10,334","9,684",650,6.3,"10,161","9,267",894,8.8,"10,003","8,572","1,431",14.3,"10,221","8,959","1,262",12.3,"9,849","8,712","1,137",11.5,"9,357","8,277","1,080",11.5,"9,073","8,142",931,10.3,"8,849","7,913",936,10.6,"8,625","7,854",771,8.9,"$31,433",70.1
01007,AL,"Bibb County, AL",1,1,1,1,"8,791","8,432",359,4.1,"8,749","8,241",508,5.8,"8,742","7,581","1,161",13.3,"8,934","7,914","1,020",11.4,"8,933","7,996",937,10.5,"8,793","8,041",752,8.6,"8,679","7,990",689,7.9,"8,560","7,942",618,7.2,"8,490","7,929",561,6.6,"$40,767",90.9
01009,AL,"Blount County, AL",1,1,1,1,"26,629","25,780",849,3.2,"26,698","25,453","1,245",4.7,"26,480","23,832","2,648",10.0,"24,906","22,460","2,446",9.8,"25,123","22,939","2,184",8.7,"24,945","23,227","1,718",6.9,"24,810","23,249","1,561",6.3,"24,532","23,023","1,509",6.2,"24,352","23,036","1,316",5.4,"$50,487",112.6
01011,AL,"Bullock County, AL",6,6,6,6,"3,653","3,308",345,9.4,"3,634","3,251",383,10.5,"3,739","3,156",583,15.6,"4,941","4,356",585,11.8,"4,833","4,272",561,11.6,"4,734","4,242",492,10.4,"4,765","4,317",448,9.4,"4,733","4,314",419,8.9,"4,773","4,402",371,7.8,"$28,251",63.0
01013,AL,"Butler County, AL",6,6,6,6,"9,099","8,539",560,6.2,"9,051","8,278",773,8.5,"9,104","7,615","1,489",16.4,"9,261","7,998","1,263",13.6,"9,188","8,042","1,146",12.5,"9,083","8,033","1,050",11.6,"9,120","8,179",941,10.3,"9,272","8,477",795,8.6,"9,142","8,452",690,7.5,"$33,868",75.5
01015,AL,"Calhoun County, AL",3,2,3,2,"54,861","52,709","2,152",3.9,"54,564","51,468","3,096",5.7,"53,925","47,929","5,996",11.1,"51,559","45,699","5,860",11.4,"51,268","45,963","5,305",10.3,"49,619","45,219","4,400",8.9,"48,245","44,017","4,228",8.8,"47,240","43,467","3,773",8.0,"46,051","42,837","3,214",7.0,"$42,091",93.9
01017,AL,"Chambers County, AL",6,5,6,5,"15,474","14,469","1,005",6.5,"15,012","12,848","2,164",14.4,"14,650","11,777","2,873",19.6,"14,754","12,554","2,200",14.9,"15,200","13,380","1,820",12.0,"15,132","13,637","1,495",9.9,"15,229","14,012","1,217",8.0,"15,305","14,276","1,029",6.7,"15,100","14,192",908,6.0,"$35,560",79.3
01019,AL,"Cherokee County, AL",8,6,6,6,"11,984","11,484",500,4.2,"11,996","11,308",688,5.7,"11,758","10,384","1,374",11.7,"11,464","10,245","1,219",10.6,"11,476","10,364","1,112",9.7,"11,261","10,356",905,8.0,"11,368","10,615",753,6.6,"11,388","10,725",663,5.8,"11,197","10,588",609,5.4,"$39,144",87.3
01021,AL,"Chilton County, AL",1,1,1,1,"19,737","19,067",670,3.4,"19,610","18,618",992,5.1,"19,445","17,375","2,070",10.6,"19,462","17,464","1,998",10.3,"19,539","17,753","1,786",9.1,"19,371","17,969","1,402",7.2,"19,300","18,031","1,269",6.6,"19,099","17,899","1,200",6.3,"19,021","17,943","1,078",5.7,"$42,767",95.4
01023,AL,"Choctaw County, AL",9,10,9,10,"5,183","4,875",308,5.9,"5,069","4,646",423,8.3,"5,134","4,442",692,13.5,"4,860","4,216",644,13.3,"4,764","4,138",626,13.1,"4,789","4,294",495,10.3,"4,690","4,256",434,9.3,"4,495","4,088",407,9.1,"4,378","3,979",399,9.1,"$35,089",78.3
01025,AL,"Clarke County, AL",7,11,7,11,"10,358","9,730",628,6.1,"10,351","9,419",932,9.0,"10,381","8,664","1,717",16.5,"9,108","7,300","1,808",19.9,"8,843","7,181","1,662",18.8,"8,369","7,110","1,259",15.0,"8,261","7,121","1,140",13.8,"8,157","7,161",996,12.2,"7,994","7,054",940,11.8,"$37,317",83.2
01027,AL,"Clay County, AL",9,10,9,10,"6,113","5,775",338,5.5,"5,733","5,279",454,7.9,"5,643","4,703",940,16.7,"5,851","5,005",846,14.5,"5,598","4,935",663,11.8,"5,410","4,902",508,9.4,"5,378","4,927",451,8.4,"5,514","5,117",397,7.2,"5,526","5,186",340,6.2,"$38,908",86.8
01029,AL,"Cleburne County, AL",8,4,8,4,"6,483","6,246",237,3.7,"6,557","6,225",332,5.1,"6,514","5,851",663,10.2,"6,033","5,429",604,10.0,"5,939","5,365",574,9.7,"5,834","5,354",480,8.2,"5,813","5,366",447,7.7,"5,855","5,467",388,6.6,"5,665","5,324",341,6.0,"$42,136",94.0
01031,AL,"Coffee County, AL",6,5,4,5,"21,077","20,275",802,3.8,"20,911","19,897","1,014",4.8,"21,436","19,612","1,824",8.5,"21,088","19,271","1,817",8.6,"20,749","19,059","1,690",8.1,"20,599","19,145","1,454",7.1,"20,452","19,042","1,410",6.9,"20,232","18,884","1,348",6.7,"20,310","19,109","1,201",5.9,"$46,858",104.5
01033,AL,"Colbert County, AL",3,2,3,2,"25,386","24,216","1,170",4.6,"25,160","23,523","1,637",6.5,"25,414","22,461","2,953",11.6,"24,228","21,453","2,775",11.5,"24,386","21,905","2,481",10.2,"24,011","21,906","2,105",8.8,"23,822","21,865","1,957",8.2,"24,030","22,034","1,996",8.3,"23,586","21,722","1,864",7.9,"$41,171",91.8
01035,AL,"Conecuh County, AL",9,11,7,11,"4,965","4,646",319,6.4,"4,878","4,421",457,9.4,"4,908","3,930",978,19.9,"4,991","4,131",860,17.2,"4,785","4,057",728,15.2,"4,632","4,079",553,11.9,"4,682","4,178",504,10.8,"4,718","4,229",489,10.4,"4,674","4,245",429,9.2,"$29,981",66.9
01037,AL,"Coosa County, AL",8,7,8,3,"4,686","4,415",271,5.8,"4,659","4,274",385,8.3,"4,593","3,856",737,16.0,"4,654","3,937",717,15.4,"4,477","3,918",559,12.5,"4,443","4,027",416,9.4,"4,438","4,031",407,9.2,"4,468","4,074",394,8.8,"4,431","4,133",298,6.7,"$36,078",80.5
01039,AL,"Covington County, AL",7,9,6,6,"17,070","16,409",661,3.9,"16,800","15,803",997,5.9,"16,719","14,912","1,807",10.8,"16,417","14,721","1,696",10.3,"16,367","14,764","1,603",9.8,"16,335","14,967","1,368",8.4,"16,014","14,719","1,295",8.1,"15,914","14,674","1,240",7.8,"15,456","14,355","1,101",7.1,"$36,355",81.1
01041,AL,"Crenshaw County, AL",8,6,8,6,"6,546","6,264",282,4.3,"6,464","6,105",359,5.6,"6,439","5,768",671,10.4,"6,285","5,646",639,10.2,"6,432","5,798",634,9.9,"6,247","5,728",519,8.3,"6,288","5,809",479,7.6,"6,298","5,862",436,6.9,"6,352","5,970",382,6.0,"$36,759",82.0
01043,AL,"Cullman County, AL",6,3,4,3,"39,367","38,047","1,320",3.4,"39,096","37,188","1,908",4.9,"38,537","34,585","3,952",10.3,"35,959","32,202","3,757",10.4,"35,669","32,279","3,390",9.5,"35,547","32,812","2,735",7.7,"35,663","33,293","2,370",6.6,"35,920","33,738","2,182",6.1,"36,181","34,273","1,908",5.3,"$39,290",87.6
01045,AL,"Dale County, AL",4,5,4,5,"20,250","19,450",800,4.0,"19,832","18,760","1,072",5.4,"20,033","18,100","1,933",9.6,"22,072","20,124","1,948",8.8,"22,017","20,188","1,829",8.3,"21,358","19,767","1,591",7.4,"20,688","19,157","1,531",7.4,"20,322","18,877","1,445",7.1,"19,758","18,503","1,255",6.4,"$45,294",101.0
01047,AL,"Dallas County, AL",4,5,4,5,"15,555","14,259","1,296",8.3,"15,473","13,758","1,715",11.1,"15,868","12,516","3,352",21.1,"17,808","14,806","3,002",16.9,"17,514","14,866","2,648",15.1,"16,737","14,572","2,165",12.9,"16,247","14,254","1,993",12.3,"16,010","14,203","1,807",11.3,"15,566","14,064","1,502",9.6,"$29,682",66.2
01049,AL,"DeKalb County, AL",6,6,6,6,"31,013","29,689","1,324",4.3,"30,682","28,895","1,787",5.8,"29,912","25,647","4,265",14.3,"30,942","27,026","3,916",12.7,"29,809","26,279","3,530",11.8,"28,816","26,205","2,611",9.1,"28,946","26,736","2,210",7.6,"28,952","26,955","1,997",6.9,"28,858","27,118","1,740",6.0,"$37,305",83.2
01051,AL,"Elmore County, AL",2,2,2,2,"35,805","34,620","1,185",3.3,"36,220","34,371","1,849",5.1,"36,392","32,944","3,448",9.5,"36,683","33,362","3,321",9.1,"36,597","33,521","3,076",8.4,"36,606","34,062","2,544",6.9,"36,816","34,544","2,272",6.2,"36,550","34,455","2,095",5.7,"36,075","34,236","1,839",5.1,"$53,548",119.4
01053,AL,"Escambia County, AL",6,6,6,6,"14,288","13,530",758,5.3,"14,412","13,321","1,091",7.6,"14,762","12,770","1,992",13.5,"15,007","13,238","1,769",11.8,"14,978","13,355","1,623",10.8,"14,723","13,364","1,359",9.2,"14,248","13,021","1,227",8.6,"14,369","13,215","1,154",8.0,"14,575","13,555","1,020",7.0,"$36,840",82.2
01055,AL,"Etowah County, AL",3,2,3,2,"45,459","43,431","2,028",4.5,"45,727","42,995","2,732",6.0,"44,993","39,838","5,155",11.5,"44,000","39,193","4,807",10.9,"44,722","40,238","4,484",10.0,"44,206","40,560","3,646",8.2,"43,729","40,405","3,324",7.6,"43,730","40,639","3,091",7.1,"43,203","40,559","2,644",6.1,"$42,145",94.0
01057,AL,"Fayette County, AL",6,6,6,6,"7,387","7,039",348,4.7,"7,118","6,604",514,7.2,"6,971","5,993",978,14.0,"6,831","5,942",889,13.0,"6,632","5,896",736,11.1,"6,499","5,939",560,8.6,"6,386","5,855",531,8.3,"6,351","5,851",500,7.9,"6,396","5,948",448,7.0,"$37,085",82.7
01059,AL,"Franklin County, AL",6,6,6,6,"13,742","13,108",634,4.6,"13,380","12,387",993,7.4,"13,240","11,463","1,777",13.4,"14,255","12,724","1,531",10.7,"14,362","12,986","1,376",9.6,"13,970","12,797","1,173",8.4,"13,639","12,537","1,102",8.1,"13,719","12,654","1,065",7.8,"13,615","12,744",871,6.4,"$38,535",86.0
01061,AL,"Geneva County, AL",3,2,3,2,"11,535","11,137",398,3.5,"11,337","10,717",620,5.5,"11,173","9,970","1,203",10.8,"11,559","10,362","1,197",10.4,"11,486","10,429","1,057",9.2,"11,267","10,413",854,7.6,"11,011","10,243",768,7.0,"10,794","10,071",723,6.7,"10,806","10,173",633,5.9,"$36,289",80.9
01063,AL,"Greene County, AL",3,2,8,6,"3,284","3,075",209,6.4,"3,280","3,001",279,8.5,"3,131","2,653",478,15.3,"3,306","2,735",571,17.3,"3,226","2,668",558,17.3,"3,123","2,699",424,13.6,"2,988","2,605",383,12.8,"2,987","2,613",374,12.5,"2,895","2,576",319,11.0,"$25,398",56.7
