"","player_name","FG.Percent","FG.Count","ThreePoint.Percent","Three.Count"
"1","aaron brooks",0.425138632162662,541,0.423809523809524,210
"2","aaron gordon",0.533980582524272,103,0.45,20
"3","al horford",0.543262411347518,705,0.307692307692308,26
"4","al jefferson",0.476493011435832,787,0.666666666666667,3
"5","Al-Farouq Aminu",0.434262948207171,251,0.268817204301075,93
"6","alan anderson",0.438485804416404,317,0.346153846153846,156
"7","alex len",0.530612244897959,294,0.5,2
"8","Allen Crabbe",0.395348837209302,86,0.326530612244898,49
"9","alonzo gee",0.478260869565217,138,0.44,25
"10","Amar'e Stoudemire",0.554545454545455,330,0,2
"11","amir johnson",0.581632653061224,392,0.387096774193548,31
"12","andre iguodala",0.467889908256881,327,0.365671641791045,134
"13","andre miller",0.552325581395349,172,0.125,8
"14","andre roberson",0.460122699386503,163,0.265625,64
"15","andrew wiggins",0.436781609195402,783,0.336842105263158,95
"16","anthony bennett",0.41635687732342,269,0.333333333333333,15
"17","anthony davis",0.544471153846154,832,0.142857142857143,7
"18","anthony morrow",0.444162436548223,394,0.386243386243386,189
"19","aron baynes",0.545454545454545,253,0.25,4
"20","arron afflalo",0.433534743202417,662,0.34453781512605,238
"21","avery bradley",0.434547908232119,741,0.366255144032922,243
"22","ben gordon",0.432539682539683,252,0.35,80
"23","ben mclemore",0.440917107583774,567,0.367272727272727,275
"24","beno udrih",0.495677233429395,347,0.228571428571429,70
"25","blake griffin",0.503981797497156,879,0.4,20
"26","bojan bogdanovic",0.420454545454545,352,0.303030303030303,165
"27","boris diaw",0.444444444444444,432,0.325396825396825,126
"28","bradley beal",0.414634146341463,574,0.420454545454545,176
"29","brandon bass",0.476293103448276,464,0.25,8
"30","brandon jennings",0.407894736842105,532,0.367647058823529,204
"31","brandon knight",0.427518427518428,814,0.398648648648649,296
"32","brian roberts",0.408219178082192,365,0.335616438356164,146
"33","brook lopez",0.4896,625,0.125,8
"34","carmelo anthony",0.441290322580645,775,0.339393939393939,165
"35","caron butler",0.374074074074074,270,0.294964028776978,139
"36","chandler parsons",0.446511627906977,645,0.363295880149813,267
"37","channing frye",0.388324873096447,394,0.384879725085911,291
"38","charlie villanueva",0.428571428571429,238,0.394557823129252,147
"39","chase budinger",0.378238341968912,193,0.347826086956522,69
"40","chris andersen",0.590909090909091,132,0.428571428571429,7
"41","chris bosh",0.462162162162162,740,0.377245508982036,167
"42","chris copeland",0.364864864864865,296,0.3125,160
"43","chris paul",0.480504587155963,872,0.382113821138211,246
"44","cj mccollum",0.390532544378698,169,0.410958904109589,73
"45","cj miles",0.385899814471243,539,0.328621908127208,283
"46","cj watson",0.433447098976109,293,0.393162393162393,117
