"12/8 8:25 ET" "At Kansas City" -3.5 Oakland 46 "-$195 +$170" 2016 14
"12/11 1:00 ET" "At Tennessee" -2 Denver 44 "-$130 +$110" 2016 14
"12/11 1:00 ET" "At Carolina" -1 "San Diego" 48.5 "-$120 +$100" 2016 14
"12/11 1:00 ET" "At Indianapolis" -6.5 Houston 47.5 "-$290 +$240" 2016 14
"12/11 1:00 ET" Cincinnati -5 "At Cleveland" 41.5 "-$220 +$180" 2016 14
"12/11 1:00 ET" Pittsburgh -2 "At Buffalo" 45.5 "-$130 +$110" 2016 14
"12/11 1:00 ET" Arizona -2 "At Miami" 44 "-$130 +$110" 2016 14
"12/11 1:00 ET" "At Detroit" -7.5 Chicago 42 "-$360 +$300" 2016 14
"12/11 1:00 ET" Minnesota -3.5 "At Jacksonville" 38 "-$180 +$160" 2016 14
"12/11 4:25 ET" "At Tampa Bay" -2 "New Orleans" 52 "-$130 +$110" 2016 14
"12/11 1:00 ET" Washington -2.5 "At Philadelphia" 48.5 "-$135 +$115" 2016 14
"12/11 4:05 ET" "At San Francisco" -3 "NY Jets" 43 "-$145 +$125" 2016 14
"12/11 4:25 ET" Seattle -3 "At Green Bay" 47 "-$150 +$130" 2016 14
"12/11 4:25 ET" Atlanta -5 "At Los Angeles" 44 "-$235 +$195" 2016 14
"12/11 8:30 ET" Dallas -3.5 "At NY Giants" 47 "-$200 +$170" 2016 14
"12/12 8:30 ET" "At New England" -6 Baltimore 45.5 "-$260 +$220" 2016 14
"12/10 8:25 ET" "At Arizona" -10 Minnesota 46.5 "-$500 +$400" 2015 14
"12/13 1:00 ET" "At Cincinnati" -1 Pittsburgh 48.5 "-$120 +$100" 2015 14
"12/13 1:00 ET" "At Philadelphia" -1 Buffalo 48.5 "-$120 +$100" 2015 14
"12/13 1:00 ET" "At Carolina" -8.5 Atlanta 45.5 "-$380 +$320" 2015 14
"12/13 1:00 ET" "At Cleveland" -2.5 "San Francisco" 43 "-$140 +$120" 2015 14
"12/13 1:00 ET" "At Chicago" -4 Washington 43.5 "-$205 +$175" 2015 14
"12/13 1:00 ET" Detroit -3 "At St. Louis" 41.5 "-$160 +$140" 2015 14
"12/13 1:00 ET" "At Kansas City" -12 "San Diego" 41.5 "-$700 +$500" 2015 14
"12/13 1:00 ET" "At Tampa Bay" -6 "New Orleans" 51.5 "-$245 +$205" 2015 14
"12/13 1:00 ET" "At Jacksonville" -1 Indianapolis 46 "-$120 +$100" 2015 14
"12/13 1:00 ET" "At NY Jets" -8 Tennessee 43 "-$360 +$300" 2015 14
"12/13 8:30 ET" "New England" -5 "At Houston" 46.5 "-$240 +$200" 2015 14
"12/13 4:05 ET" "At Denver" -6 Oakland 43 "-$265 +$225" 2015 14
