,gross,date_c,name,rate,budget,Director,length,actors,open_week,year,genre,rating,audience,First_Week
0,"$77,264,926","PG,2012-12-25",Parental Guidance,"6.1 based on 21,923 user ratings","$25,000,000",Andy Fickman,105M,"Billy Crystal,Bette Midler,Marisa Tomei","         $14,554,053        

      (USA)
      ",2012,"Comedy,Family",6.1,"21,923"," $14,554,053"
1,"$69,148,997","PG-13,2004-06-23",White Chicks,"5.5 based on 104,311 user ratings","$37,000,000",Keenen Ivory Wayans,109M,"Marlon Wayans,Shawn Wayans,Busy Philipps","         $19,676,748        

      (USA)
      ",2004,"Comedy,Crime",5.5,"104,311"," $19,676,748"
2,"$107,930,000","R,1994-10-14",Pulp Fiction,"8.9 based on 1,412,769 user ratings","$8,000,000",Quentin Tarantino,154M,"John Travolta,Uma Thurman,Samuel L. Jackson","         £4,243,233        

      (UK)
      ",1994,"Crime,Drama",8.9,"1,412,769"," £4,243,233"
3,"$71,277,420","R,2001-07-04",Scary Movie 2,"5.3 based on 125,077 user ratings","$45,000,000",Keenen Ivory Wayans,83M,"Anna Faris,Marlon Wayans,Antony Acker","         $20,503,356        

      (USA)
      ",2001,Comedy,5.3,"125,077"," $20,503,356"
4,"$79,235,468","PG-13,2011-03-18",Limitless,"7.4 based on 442,994 user ratings","$27,000,000",Neil Burger,105M,"Bradley Cooper,Anna Friel,Abbie Cornish","         $18,907,302        

      (USA)
      ",2011,"Mystery,Sci-Fi,Thriller",7.4,"442,994"," $18,907,302"
5,"$193,136,719","PG,2005-05-27",Madagascar,"6.9 based on 285,290 user ratings","$75,000,000",Eric Darnell,86M,"Chris Rock,Ben Stiller,David Schwimmer","         $61,012,130        

      (USA)
      ",2005,"Animation,Adventure,Comedy",6.9,"285,290"," $61,012,130"
6,"$37,371,385","R,2011-03-18",Paul,"7.0 based on 201,052 user ratings","$40,000,000",Greg Mottola,104M,"Simon Pegg,Nick Frost,Seth Rogen","         £5,517,121        

      (UK)
      ",2011,"Adventure,Comedy,Sci-Fi",7.0,"201,052"," £5,517,121"
9,"$22,858,926","R,1999-12-03",Being John Malkovich,"7.8 based on 264,768 user ratings","$13,000,000",Spike Jonze,112M,"John Cusack,Cameron Diaz,Catherine Keener","         $637,721        

      (USA)
      ",1999,"Comedy,Drama,Fantasy",7.8,"264,768"," $637,721"
11,"$42,575,718","R,2011-08-12",Final Destination 5,"5.9 based on 87,764 user ratings","$40,000,000",Steven Quale,92M,"Nicholas D'Agosto,Emma Bell,Arlen Escarpeta","         $18,031,396        

      (USA)
      ",2011,"Horror,Thriller",5.9,"87,764"," $18,031,396"
12,"$68,353,550","PG-13,2000-08-25",Bring It On,"5.9 based on 73,029 user ratings","$11,000,000",Peyton Reed,98M,"Kirsten Dunst,Eliza Dushku,Jesse Bradford","         $17,362,105        

      (USA)
      ",2000,"Comedy,Romance,Sport",5.9,"73,029"," $17,362,105"
13,"$125,305,545","PG-13,2000-11-03",Charlie's Angels,"5.5 based on 150,288 user ratings","$93,000,000",McG,98M,"Cameron Diaz,Drew Barrymore,Lucy Liu","         $40,128,550        

      (USA)
      ",2000,"Action,Adventure,Comedy",5.5,"150,288"," $40,128,550"
14,"$101,334,374","R,1997-12-12",Scream 2,"6.1 based on 130,420 user ratings","$24,000,000",Wes Craven,120M,"Neve Campbell,Courteney Cox,David Arquette","         $33,000,000        

      (USA)
      ",1997,"Horror,Mystery",6.1,"130,420"," $33,000,000"
15,"$60,491,560","R,1997-10-03",Kiss the Girls,"6.6 based on 53,121 user ratings","$27,000,000",Gary Fleder,115M,"Morgan Freeman,Ashley Judd,Cary Elwes","         $13,215,167        

      (USA)
      ",1997,"Crime,Drama,Mystery",6.6,"53,121"," $13,215,167"
16,"$62,933,793","PG,2010-03-31",The Last Song,"5.9 based on 64,799 user ratings","$20,000,000",Julie Anne Robinson,107M,"Miley Cyrus,Liam Hemsworth,Greg Kinnear","         $16,007,426        

      (USA)
      ",2010,"Drama,Family,Music",5.9,"64,799"," $16,007,426"
17,"$24,809,547","R,2011-08-26",Our Idiot Brother,"6.4 based on 76,949 user ratings","$5,000,000",Jesse Peretz,90M,"Paul Rudd,Elizabeth Banks,Zooey Deschanel","         $7,011,631        

      (USA)
      ",2011,"Comedy,Drama",6.4,"76,949"," $7,011,631"
19,"$16,816","R,2011-10-21",Trespass,"5.3 based on 35,781 user ratings","$35,000,000",Joel Schumacher,91M,"Nicolas Cage,Nicole Kidman,Cam Gigandet","         $16,816        

      (USA)
      ",2011,"Crime,Thriller",5.3,"35,781"," $16,816"
21,"$77,086,030","PG-13,2000-04-21",U-571,"6.6 based on 67,662 user ratings","$62,000,000",Jonathan Mostow,116M,"Matthew McConaughey,Bill Paxton,Harvey Keitel","         $19,553,310        

      (USA)
      ",2000,"Action,War",6.6,"67,662"," $19,553,310"
23,"$1,729,969","R,2011-11-10",Take Shelter,"7.4 based on 73,903 user ratings","$5,000,000",Jeff Nichols,120M,"Michael Shannon,Jessica Chastain,Shea Whigham","         $52,041        

      (USA)
      ",2011,"Drama,Thriller",7.4,"73,903"," $52,041"
24,"$7,871,693","PG,2008-10-10",City of Ember,"6.5 based on 55,153 user ratings","$55,000,000",Gil Kenan,90M,"Saoirse Ronan,Toby Jones,Bill Murray","         £496,909        

      (UK)
      ",2008,"Adventure,Family,Fantasy",6.5,"55,153"," £496,909"
25,"$3,073,392","R,2008-10-03",Blindness,"6.6 based on 61,405 user ratings","$25,000,000",Fernando Meirelles,121M,"Julianne Moore,Mark Ruffalo,Gael García Bernal","         $1,950,260        

      (USA)
      ",2008,"Drama,Mystery,Sci-Fi",6.6,"61,405"," $1,950,260"
26,"$182,618,434","PG-13,2000-06-30",The Perfect Storm,"6.4 based on 137,147 user ratings","$140,000,000",Wolfgang Petersen,130M,"George Clooney,Mark Wahlberg,John C. Reilly","         $41,325,042        

      (USA)
      ",2000,"Action,Adventure,Drama",6.4,"137,147"," $41,325,042"
27,"$37,899,638","PG-13,2005-08-26",The Brothers Grimm,"5.9 based on 102,069 user ratings","$88,000,000",Terry Gilliam,118M,"Matt Damon,Heath Ledger,Monica Bellucci","         $15,092,079        

      (USA)
      ",2005,"Adventure,Comedy,Fantasy",5.9,"102,069"," $15,092,079"
28,"$28,687,835","R,2008-01-25",Untraceable,"6.2 based on 42,223 user ratings","$35,000,000",Gregory Hoblit,101M,"Diane Lane,Colin Hanks,Joseph Cross","         $11,354,069        

      (USA)
      ",2008,"Crime,Mystery,Thriller",6.2,"42,223"," $11,354,069"
29,"$30,695,227","PG-13,2000-11-03",The Legend of Bagger Vance,"6.7 based on 47,231 user ratings","$80,000,000",Robert Redford,126M,"Will Smith,Matt Damon,Charlize Theron","         $11,516,712        

      (USA)
      ",2000,"Drama,Fantasy,Sport",6.7,"47,231"," $11,516,712"
30,"$33,472,850","R,2008-02-29",Semi-Pro,"5.8 based on 69,215 user ratings","$55,000,000",Kent Alterman,91M,"Will Ferrell,Woody Harrelson,André Benjamin","         £774,698        

      (UK)
      ",2008,"Comedy,Sport",5.8,"69,215"," £774,698"
31,"$15,045,676","PG-13,2009-11-06",The Box,"5.6 based on 78,661 user ratings","$16,000,000",Richard Kelly,115M,"Cameron Diaz,James Marsden,Frank Langella","         $7,571,417        

      (USA)
      ",2009,"Drama,Fantasy,Mystery",5.6,"78,661"," $7,571,417"
32,"$137,850,096","PG,2009-11-06",A Christmas Carol,"6.8 based on 79,017 user ratings","$200,000,000",Robert Zemeckis,96M,"Jim Carrey,Gary Oldman,Colin Firth","         £1,917,539        

      (UK)
      ",2009,"Animation,Drama,Family",6.8,"79,017"," £1,917,539"
33,"$15,081,783","G,2009-08-14",Ponyo,"7.7 based on 91,483 user ratings","$34,000,000",Hayao Miyazaki,101M,"Cate Blanchett,Matt Damon,Liam Neeson","         $3,585,852        

      (USA)
      ",2008,"Animation,Adventure,Comedy",7.7,"91,483"," $3,585,852"
34,"$7,159,147","R,2008-01-11",The Orphanage,"7.5 based on 125,380 user ratings","€3,400,000",J.A. Bayona,105M,"Belén Rueda,Fernando Cayo,Roger Príncep","         $338,024        

      (USA)
      ",2007,"Drama,Mystery,Thriller",7.5,"125,380"," $338,024"
35,"$51,527,787","R,2009-01-16",My Bloody Valentine,"5.5 based on 47,050 user ratings","$15,000,000",Patrick Lussier,101M,"Jensen Ackles,Jaime King,Kerr Smith","         £1,337,613        

      (UK)
      ",2009,"Horror,Thriller",5.5,"47,050"," £1,337,613"
37,"$14,793,904","PG-13,2009-07-10","I Love You, Beth Cooper","5.3 based on 29,282 user ratings","$18,000,000",Chris Columbus,102M,"Hayden Panettiere,Paul Rust,Jack Carpenter","         $4,919,433        

      (USA)
      ",2009,"Comedy,Romance",5.3,"29,282"," $4,919,433"
38,"$17,231,291","PG-13,2009-02-20",Fired Up!,"6.2 based on 38,181 user ratings","$20,000,000",Will Gluck,90M,"Eric Christian Olsen,Nicholas D'Agosto,Sarah Roemer","         $5,483,778        

      (USA)
      ",2009,Comedy,6.2,"38,181"," $5,483,778"
41,"$1,043,798","R,2010-06-03",Animal Kingdom,"7.3 based on 47,447 user ratings","AUD 5,000,000",David Michôd,113M,"James Frecheville,Guy Pearce,Joel Edgerton","         $61,968        

      (USA)
      ",2010,"Crime,Drama",7.3,"47,447"," $61,968"
43,"$57,536,361","PG-13,2000-01-07",The Cider House Rules,"7.4 based on 81,913 user ratings","$24,000,000",Lasse Hallström,126M,"Tobey Maguire,Charlize Theron,Michael Caine","         $110,098        

      (USA)
      ",1999,"Drama,Romance",7.4,"81,913"," $110,098"
44,"$66,466,372","R,2009-08-28",The Final Destination,"5.2 based on 79,199 user ratings","$40,000,000",David R. Ellis,82M,"Nick Zano,Krista Allen,Andrew Fiscella","         £3,633,395        

      (UK)
      ",2009,"Horror,Thriller",5.2,"79,199"," £3,633,395"
45,"$16,640,210","R,1999-10-22",Bringing Out the Dead,"6.8 based on 54,868 user ratings","$55,000,000",Martin Scorsese,121M,"Nicolas Cage,Patricia Arquette,John Goodman","         $6,193,052        

      (USA)
      ",1999,"Drama,Thriller",6.8,"54,868"," $6,193,052"
46,"$87,704,396","PG-13,1999-04-30",Entrapment,"6.2 based on 91,722 user ratings","$66,000,000",Jon Amiel,113M,"Sean Connery,Catherine Zeta-Jones,Ving Rhames","         $20,145,595        

      (USA)
      ",1999,"Action,Crime,Romance",6.2,"91,722"," $20,145,595"
47,"$69,102,910","PG-13,1998-04-03",Lost in Space,"5.1 based on 60,436 user ratings","$80,000,000",Stephen Hopkins,130M,"Gary Oldman,William Hurt,Matt LeBlanc","         $20,154,919        

      (USA)
      ",1998,"Action,Adventure,Family",5.1,"60,436"," $20,154,919"
48,"$78,745,923","PG-13,1998-04-10",City of Angels,"6.7 based on 98,070 user ratings","$55,000,000",Brad Silberling,114M,"Nicolas Cage,Meg Ryan,Andre Braugher","         $15,369,048        

      (USA)
      ",1998,"Drama,Fantasy,Romance",6.7,"98,070"," $15,369,048"
49,"$55,469,238","PG-13,1999-04-09",Never Been Kissed,"6.0 based on 70,876 user ratings","$25,000,000",Raja Gosnell,107M,"Drew Barrymore,David Arquette,Michael Vartan","         $11,836,707        

      (USA)
      ",1999,"Comedy,Drama,Romance",6.0,"70,876"," $11,836,707"
51,"$30,672,357","PG,1997-12-12",Home Alone 3,"4.3 based on 81,222 user ratings","$32,000,000",Raja Gosnell,102M,"Alex D. Linz,Olek Krupa,Rya Kihlstedt","         $5,085,482        

      (USA)
      ",1997,"Comedy,Crime,Family",4.3,"81,222"," $5,085,482"
52,"$61,355,436","PG-13,1997-04-04",The Saint,"6.2 based on 53,649 user ratings","$68,000,000",Phillip Noyce,116M,"Val Kilmer,Elisabeth Shue,Rade Serbedzija","         $16,278,873        

      (USA)
      ",1997,"Action,Adventure,Romance",6.2,"53,649"," $16,278,873"
53,"$35,927,406","PG-13,1997-11-21",Mortal Kombat: Annihilation,"3.7 based on 38,026 user ratings","$30,000,000",John R. Leonetti,95M,"Robin Shou,Talisa Soto,James Remar","         $16,771,694        

      (USA)
      ",1997,"Action,Adventure,Fantasy",3.7,"38,026"," $16,771,694"
55,"$65,557,989","PG-13,1997-04-11",Anaconda,"4.7 based on 77,554 user ratings","$45,000,000",Luis Llosa,89M,"Jon Voight,Jennifer Lopez,Eric Stoltz","         $16,620,887        

      (USA)
      ",1997,"Action,Adventure,Horror",4.7,"77,554"," $16,620,887"
