gross,date_c,name,rate,budget,Director,length,actors,open_week,year,genre
"        $37,371,385        

      ","R,2011-03-18",Paul,"7.0 based on 201,169 user ratings","        $40,000,000        

      ",Greg Mottola,PT104M,"Simon Pegg,Nick Frost,Seth Rogen","         £5,517,121        

      (UK)
      ",2011,"Adventure,Comedy,Sci-Fi"
"        $55,092,830        

      ","PG-13,2011-02-18",I Am Number Four,"6.1 based on 202,302 user ratings","        $60,000,000        

      ",D.J. Caruso,PT109M,"Alex Pettyfer,Timothy Olyphant,Dianna Agron","         $22,755,854        

      (USA)
      ",2011,"Action,Adventure,Sci-Fi"
"        $107,930,000        

      ","R,1994-10-14",Pulp Fiction,"8.9 based on 1,413,929 user ratings","        $8,000,000        

      ",Quentin Tarantino,PT154M,"John Travolta,Uma Thurman,Samuel L. Jackson","         £4,243,233        

      (UK)
      ",1994,"Crime,Drama"
"        $117,528,646        

      ","R,2011-07-08",Horrible Bosses,"6.9 based on 367,874 user ratings","        $35,000,000        

      ",Seth Gordon,PT98M,"Jason Bateman,Charlie Day,Jason Sudeikis","         $28,302,165        

      (USA)
      ",2011,"Comedy,Crime"
"        $67,128,202        

      ","PG,2009-03-13",Race to Witch Mountain,"5.7 based on 45,506 user ratings","        $65,000,000        

      ",Andy Fickman,PT98M,"Dwayne Johnson,Carla Gugino,AnnaSophia Robb","         $24,402,214        

      (USA)
      ",2009,"Action,Adventure,Family"
"        $102,413,606        

      ","PG-13,2014-09-19",The Maze Runner,"6.8 based on 334,571 user ratings","        $34,000,000        

      ",Wes Ball,PT113M,"Dylan O'Brien,Kaya Scodelario,Will Poulter","         $32,512,804        

      (USA)
      ",2014,"Action,Mystery,Sci-Fi"
"        $16,204,793        

      ","R,2009-09-18",Jennifer's Body,"5.1 based on 96,446 user ratings","        $16,000,000        

      ",Karyn Kusama,PT102M,"Megan Fox,Amanda Seyfried,Adam Brody","         $6,868,397        

      (USA)
      ",2009,"Comedy,Horror"
"        $137,850,096        

      ","PG,2009-11-06",A Christmas Carol,"6.8 based on 79,063 user ratings","        $200,000,000        

      ",Robert Zemeckis,PT96M,"Jim Carrey,Gary Oldman,Colin Firth","         £1,917,539        

      (UK)
      ",2009,"Animation,Drama,Family"
"        $5,247        

      ","R,2012-10-25",Universal Soldier: Day of Reckoning,"5.0 based on 16,790 user ratings","        $11,500,000        

      ",John Hyams,PT114M,"Jean-Claude Van Damme,Dolph Lundgren,Scott Adkins","         $3,181        

      (USA)
      ",2012,"Action,Horror,Mystery"
"        $125,305,545        

      ","PG-13,2000-11-03",Charlie's Angels,"5.5 based on 150,357 user ratings","        $93,000,000        

      ",McG,PT98M,"Cameron Diaz,Drew Barrymore,Lucy Liu","         $40,128,550        

      (USA)
      ",2000,"Action,Adventure,Comedy"
