entry_type,year,part_of_speech,word,month
new word entry,update, ,apotemnophilia,2003
new word entry,update, ,arsehole,2003
new word entry,update, ,arseholed,2003
new word entry,update, ,arse-lick,2003
new word entry,update, ,arse-licker,2003
new word entry,update, ,ass-backward,2003
new word entry,update, ,adobo,2007
new word entry,update, ,allophone,2007
new word entry,update, ,andrology,2007
new word entry,update, ,Anglais,2007
new word entry,update, ,antivenom,2007
new word entry,update, ,archicerebellar,2007
new word entry,update, ,archicerebellum,2007
new word entry,update, ,arch-rival,2007
new word entry,update, ,asswipe,2007
new word entry,update, ,asystolic,2007
new word entry,update, ,bad boy,2007
new word entry,update, ,bad girl,2007
new word entry,update, ,Bangla,2007
new word entry,update, ,all-seater,2002
new word entry,update, ,acromyodian,2006
new word entry,update, ,affordance,2006
new word entry,update, ,algesiometer,2006
new word entry,update, ,algesiometric,2006
new word entry,update, ,Amer Picon,2006
new word entry,update, ,aminonaphthol,2006
new word entry,update, ,annulus fibrosus,2006
new word entry,update, ,ANOVA,2006
new word entry,update, ,apomorphic,2006
new word entry,update, ,apomorphous,2006
new word entry,update, ,apomorphy,2006
new word entry,update, ,ASBO,2006
new word entry,update, ,Asianness,2006
new word entry,update, ,autapomorphic,2006
new word entry,update, ,autapomorphous,2006
new word entry,update, ,autapomorphy,2006
new word entry,update, ,autorickshaw,2006
new word entry,update, ,barfy,2006
new word entry,update, ,bariopyrochlore,2006
new word entry,update, ,beatbox,2006
new word entry,update, ,beatboxing,2006
new word entry,update, ,Belfast sink,2006
new word entry,update, ,besuited,2006
new word entry,update, ,bindaas,2006
new word entry,update, ,Bloomsday,2006
new word entry,update, ,bogman,2006
new word entry,update, ,bog people,2006
new word entry,update, ,boo,2006
new word entry,update, ,carborane,2006
new word entry,update, ,cardiomegaly,2006
new word entry,update, ,cariad,2006
new word entry,update, ,cellie,2006
new word entry,update, ,celly,2006
new word entry,update, ,Cephalochordata,2006
new word entry,update, ,cephalochordate,2006
new word entry,update, ,acid jazz,2001
new word entry,update, ,alcopop,2001
new word entry,update, ,balti,2001
new word entry,update, ,Balti,2001
new word entry,update, ,ABD,2002
new word entry,update, ,aliyah,2002
new word entry,update, ,amateur dramatic,2002
new word entry,update, ,amateur dramatics,2002
new word entry,update, ,am-dram,2002
new word entry,update, ,America,2002
new word entry,update, ,America First,2002
new word entry,update, ,America Firster,2002
new word entry,update, ,Americana,2002
new word entry,update, ,Americas Cup,2002
new word entry,update, ,AOR,2002
new word entry,update, ,Asperger,2002
new word entry,update, ,A-team,2002
new word entry,update, ,barbie,2002
new word entry,update, ,B-boy,2002
new word entry,update, ,big chill,2002
new word entry,update, ,bitching,2002
new word entry,update, ,101,2004
new word entry,update, ,1471,2004
new word entry,update, ,after-party,2004
new word entry,update, ,alt,2004
new word entry,update, ,0800 number,2003
new word entry,update, ,360-degree,2003
new word entry,update, ,alphavirus,2003
new word entry,update, ,Amandebele,2003
new word entry,update, ,0898 number,2004
new word entry,update, ,air guitar,2004
new word entry,update, ,air guitar,2004
new word entry,update, ,Alawi,2004
new word entry,update, ,abortionism,2005
new word entry,update, ,aloo,2005
new word entry,update, ,aloo chaat,2005
new word entry,update, ,amapakati,2005
new word entry,update, ,Amazonian,2005
new word entry,update, ,ampelographer,2008
new word entry,update, ,Apus,2008
new word entry,update, ,arenosol,2008
new word entry,update, ,boonies,2008
new word entry,update, ,borek,2008
new word entry,update, ,borlotti,2008
new word entry,update, ,care package,2008
new word entry,update, ,choy sum,2008
new word entry,update, ,Ciliata,2008
new word entry,update, ,dubstep,2008
new word entry,update, ,eggcorn,2008
new word entry,update, ,fening,2008
new word entry,update, ,free runner,2008
new word entry,update, ,free running,2008
new word entry,update, ,futsal,2008
new word entry,update, ,goal post,2008
new word entry,update, ,goji,2008
new word entry,update, ,Herceptin,2008
new word entry,update, ,hikikomori,2008
new word entry,update, ,Holyrood,2008
new word entry,update, ,iPod,2008
new word entry,update, ,kawaii,2008
new word entry,update, ,401(k),2006
new word entry,update, ,adware,2006
new word entry,update, ,agri-,2006
new word entry,update, ,air kiss,2006
new word entry,update, ,amaretto,2006
new word entry,update, ,Amarone,2006
new word entry,update, ,anacronym,2006
new word entry,update, ,andropause,2006
new word entry,update, ,animateur,2006
new word entry,update, ,anoraky,2006
new word entry,update, ,asylee,2006
new word entry,update, ,autobiopic,2006
new word entry,update, ,automagically,2006
new word entry,update, ,backlist,2006
new word entry,update, ,backlisted,2006
new word entry,update, ,backlisting,2006
new word entry,update, ,bad taste,2006
new word entry,update, ,avoidant,2009
new word entry,update, ,bird-dogging,2009
new sub-entry,update, ,avoidant,2009
new sub-entry,update, ,bird-dogging,2009
new word sense,update, ,avoidant,2009
new word sense,update, ,bird-dogging,2009
new word entry,update, ,ab,2005
new word entry,update, ,abdominizer,2005
new word entry,update, ,alley-oop,2005
new word entry,update, ,African-American,2001
new word entry,update, ,ad absurdum,2009
new word entry,update, and ,),2009
new word entry,update, ,afference,2009
new word entry,update, ,A-gay,2009
new word entry,update, ,amateur night,2009
new word entry,update, ,Abelungu,2002
new word entry,update, ,abortuary,2002
new word entry,update, ,after-school,2002
new word entry,update, ,A-list,2002
new word entry,update, ,-alicious,2004
new word entry,update, ,anarcho-,2004
new word entry,update, ,anarcho-capitalism,2004
new word entry,update, ,anarcho-capitalist,2004
new word entry,update, ,abdominoplasty,2007
new word entry,update, ,acquis,2007
new word entry,update, ,acquis communautaire,2007
new word entry,update, ,aeroponic,2007
new word entry,update, ,aeroponics,2007
new word entry,update, ,akhara,2007
new word entry,update, ,angioid,2007
new word entry,update, ,Arethusa,2007
new word entry,update, ,aromatase,2007
new word entry,update, ,arsewipe,2007
new word entry,update, ,attrit,2007
new word entry,update, ,balls-out,2007
new word entry,update, ,1984,2003
new word entry,update, ,1992,2003
new word entry,update, ,800 number,2003
new word entry,update, ,900 number,2003
new word entry,update, ,911,2003
new word entry,update, ,999,2003
new word entry,update, ,Amangqika,2003
new word entry,update, ,anime,2003
new word entry,update, ,anime,2003
new word entry,update, ,-ati,2003
new word entry,update, ,bear-hug,2003
new word entry,update, ,bear-hug,2003
new word entry,update, ,bot,2003
new word entry,update, ,-bot,2003
new word entry,update, ,calcitonin,2003
new word entry,update, ,cancelbot,2003
new word entry,update, ,cherry-pick,2003
new word entry,update, ,cherry-picker,2003
new word entry,update, ,cherry-picking,2003
new word entry,update, ,cherry-picking,2003
new word entry,update, ,chilgoza,2003
new word entry,update, ,combi,2003
new word entry,update, ,cross-sell,2003
new word entry,update, ,cross-selling,2003
new word entry,update, ,culturati,2003
new word entry,update, ,dihydropyridine,2003
new word entry,update, ,down and dirty,2003
new word entry,update, ,anyhoo,2009
new word entry,update, ,Aquitanian,2009
new word entry,update, ,another country,2003
new word entry,update, ,antiviral,2003
new word entry,update, ,aai,2007
new word entry,update, ,accelerin,2007
new word entry,update, ,adland,2007
new word entry,update, ,agri-,2007
new word entry,update, ,airdate,2007
new word entry,update, ,anandamide,2007
new word entry,update, ,A. N. Other,2007
new word entry,update, ,antiquer,2007
new word entry,update, ,apoptosis,2007
new word entry,update, ,argh,2007
new word entry,update, ,bakkie,2007
new word entry,update, ,balm,2007
new word entry,update, ,bangarang,2007
new word entry,update, ,bashert,2007
new word entry,update, ,bashert,2007
new word entry,update, ,boil wash,2007
new word entry,update, ,boil-wash,2007
new word entry,update, ,Brit,2007
new word entry,update, ,brob,2007
new word entry,update, ,Brooklynite,2007
new word entry,update, ,bulerias,2007
new word entry,update, ,celestial navigation,2007
new word entry,update, ,Charmat,2007
new word entry,update, ,chicklet,2007
new word entry,update, ,chill pill,2007
new word entry,update, ,club-hop,2007
new word entry,update, ,club-hopper,2007
new word entry,update, ,club-hopping,2007
new word entry,update, ,club-hopping,2007
new word entry,update, ,comitology,2007
new word entry,update, ,comparison shop,2007
new word entry,update, ,comparison shop,2007
new word entry,update, ,comparison shopper,2007
new word entry,update, ,comparison shopping,2007
new word entry,update, ,concho,2007
new word entry,update, ,cotylosaur,2007
new word entry,update, ,cotylosaurian,2007
new word entry,update, ,amphitelic,2002
new word entry,update, ,any more,2002
new word entry,update, ,at sign,2002
new word entry,update, ,barista,2002
new word entry,update, ,bookmark,2002
new word entry,update, ,bookmark,2002
new word entry,update, ,bookmarked,2002
new word entry,update, ,bookmarking,2002
new word entry,update, ,botch-up,2002
new word entry,update, ,boxaerobics,2002
new word entry,update, ,boxercise,2002
new word entry,update, ,brainiac,2002
new word entry,update, ,autostereoscopic,2001
new word entry,update, ,Ayurveda,2001
new word entry,update, ,Ayurvedist,2001
new word entry,update, ,communitarianism,2001
new word entry,update, ,comper,2001
new word entry,update, ,comping,2001
new word entry,update, ,corporate,2001
new word entry,update, ,decaf,2001
new word entry,update, ,ad feminam,2006
new word entry,update, ,acupoint,2004
new word entry,update, ,ahi,2004
