,c,g
0,12287,1
1,8548,2
2,5793,3
3,5793,4
4,2811,6
5,6609,7
6,10030,8
7,14004,10
8,9916,11
9,13759,12
10,9905,13
11,13170,14
12,12809,15
13,8502,18
14,9196,19
15,10759,20
16,12809,22
17,9304,23
18,12636,24
19,10300,25
20,10385,26
21,10922,28
22,9845,29
23,8410,30
24,212,31
25,3493,33
26,13235,35
27,7335,36
28,9582,37
29,11095,38
30,11741,39
31,4707,41
32,10964,43
33,12603,44
34,12603,45
35,12603,46
36,11922,47
37,6713,48
38,8947,49
39,13646,50
40,2101,51
41,5970,52
42,14401,53
43,7965,54
44,8687,55
45,8687,56
46,9498,57
47,8627,58
48,3660,60
49,12346,61
50,306,64
51,14379,65
52,12629,66
53,8327,67
54,8327,68
55,7348,69
56,12805,70
57,9983,71
58,11138,72
59,7946,73
60,13586,74
61,13871,75
62,12122,76
63,11206,78
64,9048,79
65,12674,81
66,9126,83
67,9673,85
68,8807,87
69,11722,88
70,7308,89
71,13378,90
72,10218,91
73,5342,92
74,5428,95
75,10289,96
76,8210,97
77,13701,98
78,6600,100
79,12233,101
80,13143,102
81,10525,106
82,10487,107
83,10487,108
84,13446,109
85,13331,110
86,2367,111
87,10702,112
88,12387,113
89,5539,115
90,12536,116
91,11024,117
92,5611,118
93,12577,120
94,11681,121
95,12647,122
96,8401,124
97,5401,127
98,7423,128
99,10884,129
100,14540,130
101,8904,131
102,12735,132
103,7778,136
104,9290,137
105,8390,138
106,7928,140
107,11529,141
108,5147,143
109,9277,147
110,8754,148
111,4988,149
112,754,150
113,12917,151
114,141,152
115,4713,153
116,14222,154
117,7313,155
118,7458,156
119,7612,157
120,742,158
121,13975,159
122,11267,160
123,12185,161
124,12950,164
125,11089,165
126,13454,166
127,11298,167
128,13441,168
129,8231,169
130,8841,172
131,11080,173
132,10576,174
133,13384,175
134,12846,176
135,10603,177
136,12582,178
137,10321,179
138,12594,180
139,12594,181
140,310,183
141,10117,184
142,420,186
143,9740,189
144,4415,192
145,8634,193
146,11533,194
147,11148,195
148,11148,196
149,11475,197
150,9571,198
151,10532,199
152,10875,200
153,12042,201
154,12042,202
155,12042,203
156,10126,206
157,11045,207
158,14031,208
159,14691,209
160,14144,210
161,13377,211
162,10484,212
163,11959,213
164,9822,214
165,8625,215
166,13937,216
167,273,217
168,8555,218
169,8555,219
170,14569,220
171,14569,221
172,12458,222
173,12529,223
174,8300,224
175,9578,225
176,8150,227
177,12190,228
178,12624,229
179,13367,230
180,11689,231
181,13706,232
182,13070,233
183,11592,234
184,10080,235
185,13870,237
186,11704,238
187,11704,239
188,14510,241
189,11321,242
190,9932,243
191,8117,245
192,11020,246
193,12485,247
194,11777,249
195,13043,250
196,11044,251
197,13828,252
198,11130,253
199,13582,254
200,9221,259
201,12129,263
202,11563,264
203,12808,265
204,11806,266
205,11772,267
206,11316,268
207,11316,269
208,12621,270
209,12051,271
210,11405,272
211,11523,273
212,9137,274
213,9126,275
214,11842,276
215,7741,277
216,13168,278
217,11969,279
218,10818,280
219,11998,281
220,9078,282
221,14447,284
222,12090,285
223,13852,286
224,12790,287
225,11537,288
226,31,289
227,10624,290
228,14378,291
229,14166,292
230,10638,294
231,12833,295
232,174,296
233,4854,297
234,13551,298
235,12772,299
236,14535,300
237,10642,301
238,14491,302
239,7616,303
240,10545,305
241,12546,307
242,11692,308
243,9431,309
244,8966,310
245,13169,311
246,10220,312
247,11841,314
248,8600,315
249,12650,316
250,12955,317
251,12802,319
252,12506,320
253,12717,321
254,10756,322
255,9030,324
256,13387,325
257,11354,327
258,11754,328
259,11424,332
260,10694,335
261,367,337
262,13117,339
263,8542,340
264,13593,341
265,11079,342
266,13672,343
267,12258,344
268,8327,345
269,13820,346
270,12007,347
271,12468,348
272,73,349
273,10179,350
274,3471,351
275,13406,352
276,9024,353
277,13580,354
278,11593,355
279,14539,356
280,11676,357
281,11905,359
282,9924,360
283,4875,364
284,14085,365
285,8526,366
286,13434,367
287,14527,371
288,14527,372
289,11623,373
290,12987,374
291,12215,375
292,10952,376
293,10952,377
294,13670,378
295,171,379
296,13620,382
297,13964,384
298,14114,385
299,12705,386
300,10216,387
301,12214,388
302,14089,389
303,5596,390
304,7325,393
305,11205,394
306,12754,395
307,12845,396
308,11472,397
309,10684,398
310,10266,399
311,237,401
312,6810,403
313,11979,404
314,12616,405
315,13134,406
316,13134,407
317,9736,408
318,14489,409
319,9759,411
320,11727,412
321,14042,413
322,433,415
323,13815,416
324,10243,417
325,11181,418
326,13007,419
327,12414,420
328,12554,421
329,9025,422
330,12177,423
331,14326,425
332,14326,426
333,12294,427
334,10872,428
335,14193,429
336,13821,430
337,9404,431
338,13306,432
339,11426,433
340,13385,435
341,10095,436
342,13458,437
343,13084,438
344,442,439
345,403,440
346,403,441
347,12601,442
348,13658,443
349,13658,445
350,12643,446
351,8257,448
352,72,450
353,14572,451
354,14715,452
355,9303,453
356,12611,454
357,13646,455
358,13057,457
359,428,458
360,12660,459
361,12660,460
362,11554,461
363,10024,464
364,8565,465
365,9065,467
366,12573,468
367,13542,469
368,10968,471
369,12071,472
370,10206,473
371,13268,475
372,13491,476
373,13179,477
374,13733,478
375,12574,479
376,6660,480
377,3225,481
378,13815,482
379,13855,483
380,5503,484
381,3749,485
382,5785,486
383,10103,487
384,12178,488
385,7238,489
386,7478,490
387,9065,491
388,8507,492
389,10026,493
390,4217,494
391,3256,495
392,6766,496
393,64,497
394,5765,498
395,7391,499
396,2612,500
397,10754,502
398,9276,503
399,10573,504
400,13654,505
401,13502,506
402,7295,508
403,11933,509
404,12311,510
405,10482,511
406,13720,512
407,11019,513
408,11283,514
409,11283,515
410,3420,516
411,14722,517
412,13541,519
413,12623,520
414,10951,521
415,2956,522
416,7971,523
417,1411,524
418,13112,525
419,1991,526
420,8714,527
421,8239,528
422,7700,529
423,338,530
424,11005,531
425,10659,532
426,11,533
427,13171,535
428,8398,536
429,7162,537
430,300,538
431,10702,539
432,11105,540
433,5548,541
434,8075,542
435,12370,543
436,1482,544
437,10737,545
438,13531,546
439,3738,547
440,14052,548
441,5524,549
442,4429,551
443,14095,552
444,9758,553
445,1949,554
446,7462,556
447,8608,557
448,8608,558
449,9738,559
450,7364,560
451,9626,561
452,11550,562
453,7080,563
454,6305,564
455,3030,565
456,8979,566
457,7527,567
458,8426,568
459,12334,569
