Date,Bid,Ask,Mid,Change,% Change,Cumulative Change %,High,Low
05/05/17,,,0.015539,0.00,-0.28,,,
05/04/17,0.015581,0.015584,0.015582,0.00,-0.05,-92.54,0.015582,0.015582
05/03/17,0.015590,0.015592,0.015591,0.00,0.12,-92.54,0.015591,0.015591
05/02/17,0.015570,0.015573,0.015571,0.00,0.17,-92.55,0.015571,0.015571
05/01/17,0.015544,0.015546,0.015545,0.00,0.00,-92.56,0.015545,0.015545
04/28/17,0.015544,0.015546,0.015545,0.00,-0.30,-92.56,0.015545,0.015545
04/27/17,0.015590,0.015592,0.015591,0.00,-0.05,-92.54,0.015591,0.015591
04/26/17,0.015598,0.015601,0.015599,0.00,0.27,-92.54,0.015599,0.015599
04/25/17,0.015556,0.015558,0.015557,0.00,0.25,-92.56,0.015557,0.015557
04/24/17,0.015517,0.015518,0.015517,0.00,0.22,-92.57,0.015517,0.015517
04/21/17,0.015482,0.015484,0.015483,0.00,0.02,-92.59,0.015483,0.015483
04/20/17,0.015478,0.015480,0.015479,0.00,-0.04,-92.59,0.015479,0.015479
04/19/17,0.015485,0.015487,0.015486,0.00,0.01,-92.59,0.015486,0.015486
04/18/17,0.015483,0.015486,0.015485,0.00,-0.22,-92.59,0.015485,0.015485
04/17/17,0.015518,0.015521,0.015520,0.00,-0.03,-92.57,0.015520,0.015520
04/14/17,0.015523,0.015526,0.015524,0.00,0.00,-92.57,0.015524,0.015524
04/13/17,0.015523,0.015526,0.015524,0.00,0.43,-92.57,0.015524,0.015524
04/12/17,0.015456,0.015458,0.015457,0.00,-0.34,-92.60,0.015457,0.015457
04/11/17,0.015509,0.015511,0.015510,0.00,0.11,-92.58,0.015510,0.015510
04/10/17,0.015492,0.015494,0.015493,0.00,-0.51,-92.59,0.015493,0.015493
04/07/17,0.015571,0.015574,0.015573,0.00,0.66,-92.55,0.015573,0.015573
04/06/17,0.015469,0.015471,0.015470,0.00,0.43,-92.60,0.015470,0.015470
04/05/17,0.015404,0.015406,0.015405,0.00,0.19,-92.63,0.015405,0.015405
04/04/17,0.015374,0.015376,0.015375,0.00,0.00,-92.64,0.015375,0.015375
04/03/17,0.015374,0.015376,0.015375,0.00,-0.16,-92.64,0.015375,0.015375
03/31/17,0.015399,0.015401,0.015400,0.00,-0.02,-92.63,0.015400,0.015400
03/30/17,0.015401,0.015404,0.015402,0.00,-0.01,-92.63,0.015402,0.015402
03/29/17,0.015403,0.015405,0.015404,0.00,0.27,-92.63,0.015404,0.015404
03/28/17,0.015361,0.015363,0.015362,0.00,0.00,-92.65,0.015362,0.015362
03/27/17,0.015361,0.015363,0.015362,0.00,0.49,-92.65,0.015362,0.015362
03/24/17,0.015287,0.015289,0.015288,0.00,0.20,-92.68,0.015288,0.015288
03/23/17,0.015256,0.015258,0.015257,0.00,-0.15,-92.70,0.015257,0.015257
03/22/17,0.015278,0.015280,0.015279,0.00,-0.32,-92.69,0.015279,0.015279
03/21/17,0.015327,0.015329,0.015328,0.00,0.17,-92.67,0.015328,0.015328
03/20/17,0.015301,0.015303,0.015302,0.00,0.21,-92.68,0.015302,0.015302
03/17/17,0.015270,0.015272,0.015271,0.00,-0.03,-92.69,0.015271,0.015271
03/16/17,0.015274,0.015277,0.015275,0.00,0.35,-92.69,0.015275,0.015275
03/15/17,0.015221,0.015223,0.015222,0.00,0.35,-92.72,0.015222,0.015222
03/14/17,0.015167,0.015172,0.015169,0.00,0.98,-92.74,0.015169,0.015169
03/13/17,0.015021,0.015022,0.015021,0.00,0.00,-92.81,0.015021,0.015021
03/10/17,0.015021,0.015022,0.015021,0.00,0.27,-92.81,0.015021,0.015021
03/09/17,0.014980,0.014982,0.014981,0.00,-0.06,-92.83,0.014981,0.014981
03/08/17,0.014989,0.014991,0.014990,0.00,-0.05,-92.83,0.014990,0.014990
03/07/17,0.014997,0.014999,0.014998,0.00,0.07,-92.82,0.014998,0.014998
03/06/17,0.014987,0.014989,0.014988,0.00,0.14,-92.83,0.014988,0.014988
03/03/17,0.014966,0.014968,0.014967,0.00,-0.18,-92.84,0.014967,0.014967
03/02/17,0.014993,0.014995,0.014994,0.00,0.19,-92.83,0.014994,0.014994
03/01/17,0.014963,0.014966,0.014964,0.00,-0.16,-92.84,0.014964,0.014964
02/28/17,0.014987,0.014989,0.014988,0.00,0.07,-92.83,0.014988,0.014988
02/27/17,0.014977,0.014980,0.014978,0.00,0.10,-92.83,0.014978,0.014978
02/24/17,0.014962,0.014964,0.014963,0.00,0.00,-92.84,0.014963,0.014963
02/23/17,0.014962,0.014964,0.014963,0.00,0.22,-92.84,0.014963,0.014963
02/22/17,0.014929,0.014932,0.014930,0.00,-0.09,-92.86,0.014930,0.014930
02/21/17,0.014943,0.014945,0.014944,0.00,0.00,-92.85,0.014944,0.014944
02/20/17,0.014943,0.014945,0.014944,0.00,0.15,-92.85,0.014944,0.014944
02/17/17,0.014921,0.014924,0.014923,0.00,0.05,-92.86,0.014923,0.014923
02/16/17,0.014914,0.014916,0.014915,0.00,-0.22,-92.86,0.014915,0.014915
02/15/17,0.014948,0.014950,0.014949,0.00,0.07,-92.85,0.014949,0.014949
02/14/17,0.014937,0.014939,0.014938,0.00,0.07,-92.85,0.014938,0.014938
02/13/17,0.014925,0.014928,0.014926,0.00,-0.24,-92.86,0.014926,0.014926
02/10/17,0.014962,0.014964,0.014963,0.00,0.13,-92.84,0.014963,0.014963
02/09/17,0.014942,0.014944,0.014943,0.00,0.47,-92.85,0.014943,0.014943
02/08/17,0.014872,0.014874,0.014873,0.00,0.20,-92.88,0.014873,0.014873
02/07/17,0.014841,0.014843,0.014842,0.00,-0.25,-92.90,0.014842,0.014842
02/06/17,0.014879,0.014881,0.014880,0.00,0.15,-92.88,0.014880,0.014880
02/03/17,0.014857,0.014859,0.014858,0.00,0.16,-92.89,0.014858,0.014858
02/02/17,0.014833,0.014836,0.014835,0.00,0.19,-92.90,0.014835,0.014835
02/01/17,0.014805,0.014808,0.014807,0.00,0.46,-92.92,0.014807,0.014807
01/31/17,0.014738,0.014741,0.014739,0.00,0.19,-92.95,0.014739,0.014739
01/30/17,0.014710,0.014712,0.014711,0.00,0.13,-92.96,0.014711,0.014711
01/27/17,0.014690,0.014693,0.014692,0.00,0.01,-92.97,0.014692,0.014692
01/26/17,0.014688,0.014691,0.014689,0.00,0.00,-92.97,0.014689,0.014689
01/25/17,0.014688,0.014691,0.014689,0.00,0.12,-92.97,0.014689,0.014689
01/24/17,0.014670,0.014672,0.014671,0.00,0.03,-92.98,0.014671,0.014671
01/23/17,0.014666,0.014668,0.014667,0.00,-0.02,-92.98,0.014667,0.014667
01/20/17,0.014669,0.014671,0.014670,0.00,0.00,-92.98,0.014670,0.014670
01/19/17,0.014669,0.014672,0.014671,0.00,-0.16,-92.98,0.014671,0.014671
01/18/17,0.014692,0.014695,0.014694,0.00,-0.11,-92.97,0.014694,0.014694
