Date,Bid,Ask,Mid,Change,% Change,Cumulative Change %,High,Low
05/05/17,,,0.052572,0.00,-0.14,,,
05/04/17,0.052639,0.052648,0.052644,0.00,-0.88,-99.93,0.052644,0.052644
05/03/17,0.053106,0.053119,0.053112,0.00,-0.21,-99.93,0.053112,0.053112
05/02/17,0.053220,0.053232,0.053226,0.00,0.07,-99.93,0.053226,0.053226
05/01/17,0.053186,0.053197,0.053191,0.00,0.95,-99.93,0.053191,0.053191
04/28/17,0.052686,0.052700,0.052693,0.00,0.42,-99.93,0.052693,0.052693
04/27/17,0.052466,0.052480,0.052473,0.00,-0.22,-99.93,0.052473,0.052473
04/26/17,0.052582,0.052593,0.052587,0.00,-0.52,-99.93,0.052587,0.052587
04/25/17,0.052859,0.052869,0.052864,0.00,-1.50,-99.93,0.052864,0.052864
04/24/17,0.053663,0.053676,0.053670,0.00,1.09,-99.93,0.053670,0.053670
04/21/17,0.053083,0.053096,0.053089,0.00,0.01,-99.93,0.053089,0.053089
04/20/17,0.053078,0.053089,0.053084,0.00,-0.24,-99.93,0.053084,0.053084
04/19/17,0.053206,0.053217,0.053212,0.00,-1.68,-99.93,0.053212,0.053212
04/18/17,0.054112,0.054126,0.054119,0.00,0.47,-99.93,0.054119,0.054119
04/17/17,0.053857,0.053873,0.053865,0.00,-0.23,-99.93,0.053865,0.053865
04/14/17,0.053981,0.053997,0.053989,0.00,0.00,-99.93,0.053989,0.053989
04/13/17,0.053981,0.053997,0.053989,0.00,1.25,-99.93,0.053989,0.053989
04/12/17,0.053314,0.053329,0.053322,0.00,0.30,-99.93,0.053322,0.053322
04/11/17,0.053152,0.053167,0.053160,0.00,-0.63,-99.93,0.053160,0.053160
04/10/17,0.053489,0.053503,0.053496,0.00,-0.04,-99.93,0.053496,0.053496
04/07/17,0.053507,0.053525,0.053516,0.00,0.48,-99.93,0.053516,0.053516
04/06/17,0.053250,0.053267,0.053259,0.00,-0.24,-99.93,0.053259,0.053259
04/05/17,0.053380,0.053392,0.053386,0.00,0.74,-99.93,0.053386,0.053386
04/04/17,0.052986,0.053000,0.052993,0.00,-0.82,-99.93,0.052993,0.052993
04/03/17,0.053424,0.053437,0.053431,0.00,0.63,-99.93,0.053431,0.053431
03/31/17,0.053090,0.053101,0.053095,0.00,-0.95,-99.93,0.053095,0.053095
03/30/17,0.053595,0.053612,0.053603,0.00,1.00,-99.93,0.053603,0.053603
03/29/17,0.053064,0.053080,0.053072,0.00,0.11,-99.93,0.053072,0.053072
03/28/17,0.053006,0.053021,0.053013,0.00,0.07,-99.93,0.053013,0.053013
03/27/17,0.052967,0.052984,0.052975,0.00,-0.12,-99.93,0.052975,0.052975
03/24/17,0.053034,0.053044,0.053039,0.00,0.76,-99.93,0.053039,0.053039
03/23/17,0.052630,0.052646,0.052638,0.00,0.36,-99.93,0.052638,0.052638
03/22/17,0.052446,0.052457,0.052451,0.00,0.18,-99.93,0.052451,0.052451
03/21/17,0.052351,0.052366,0.052358,0.00,-0.39,-99.93,0.052358,0.052358
03/20/17,0.052555,0.052572,0.052563,0.00,0.59,-99.93,0.052563,0.052563
03/17/17,0.052251,0.052263,0.052257,0.00,0.19,-99.93,0.052257,0.052257
03/16/17,0.052152,0.052163,0.052158,0.00,1.46,-99.93,0.052158,0.052158
03/15/17,0.051397,0.051412,0.051405,0.00,0.87,-99.94,0.051405,0.051405
03/14/17,0.050955,0.050965,0.050960,0.00,-0.30,-99.94,0.050960,0.050960
