Market_cap,Name,Percent_change_7d,Price,Percent_change_24h,Volume_24h,Circulating_supply,Symbol
22344649713.0,Bitcoin,12.52,1370.52,4.07,474265000.0,16303775.0,BTC
7490505740.72,Ethereum,65.26,82.1275,19.03,309177000.0,91205817.0615,ETH
2135560561.45,Ripple,80.92,0.0563697,7.92,44425800.0,37884902021.0,XRP
807845439.242,Litecoin,16.68,15.8768,0.16,35128000.0,50882132.3719,LTC
673391481.114,Dash,33.31,92.7132,-1.27,20876200.0,7263167.28485,DASH
608829723.286,Ethereum Classic,78.81,6.6762,23.06,88832900.0,91194051.0,ETC
491556599.945,NEM,75.05,0.0546174,10.53,6917060.0,8999999999.0,XEM
340515340.451,Monero,18.41,23.6708,-1.27,10870500.0,14385459.7416,XMR
194643900.0,Augur,49.42,17.6949,4.77,4848330.0,11000000.0,REP
189531520.0,Golem,138.45,0.231136,31.31,21664400.0,820000000.0,GNT
120886705.398,MaidSafeCoin,15.10,0.267122,0.22,1476120.0,452552412.0,MAID
117220753.974,Zcash,44.45,97.3751,-0.29,11764300.0,1203806.25,ZEC
92067158.9604,PIVX,49.62,1.73062,-4.28,1780530.0,53198945.4418,PIVX
83074254.4658,Dogecoin,49.87,0.000760828,-0.38,3816570.0,1.09189270723e+11,DOGE
82104600.0,SingularDTV,128.66,0.136841,56.33,393891.0,600000000.0,SNGLS
73156727.506,Decred,-13.69,15.2677,-3.80,1535190.0,4791601.06014,DCR
72405755.4447,Stratis,19.54,0.736078,-0.65,1511780.0,98366960.3557,STRAT
70953330.6174,Factom,21.69,8.10597,-0.65,2965770.0,8753219.0,FCT
67067935.6921,Steem,27.47,0.285459,-2.05,937480.0,234947700.693,STEEM
66485562.1579,Lisk,69.12,0.62493,9.39,2325790.0,106388815.0,LSK
62051800.0,Waves,5.02,0.620518,4.78,309349.0,100000000.0,WAVES
59890400.0,DigixDAO,46.37,29.9452,-0.42,240379.0,2000000.0,DGD
59054099.2488,Tether,1.91,0.937174,0.02,26423900.0,63012950.9022,USDT
54963850.9926,GameCredits,8.14,0.884557,-2.46,971296.0,62137150.0,GAME
53972203.6985,BitConnect,-10.27,8.76581,-1.40,290027.0,6157126.80271,BCC
53056563.4796,Ardor,67.73,0.0531097,3.68,645473.0,998999495.0,ARDR
51114900.1033,iExec RLC,123.08,0.654725,21.23,783443.0,78070793.2388,RLC
50232450.0,Round,65.51,0.059097,-9.85,31744.7,850000000.0,ROUND
49533844.4977,Stellar Lumens,49.84,0.00531635,0.75,4599580.0,9317265510.67,XLM
43677828.0,Iconomi,18.67,0.502044,-6.91,437655.0,87000000.0,ICN
42500527.712,BitShares,29.03,0.0163568,-3.06,2826570.0,2598340000.0,BTS
39941948.2435,Bytecoin,27.63,0.000218469,15.98,115965.0,1.82826617248e+11,BCN
37228428.452,Byteball,49.21,232.277,3.90,125579.0,160276.0,GBYTE
33153184.1018,First Blood,43.04,0.387492,1.96,753329.0,85558370.5,1ST
32170823.5281,Siacoin,69.52,0.00126026,1.83,2572410.0,25527132122.0,SC
31755212.4596,Nxt,51.76,0.031787,5.36,1630090.0,998999983.0,NXT
30967452.236,Peercoin,52.15,1.28693,3.86,875566.0,24063043.2393,PPC
30838713.2852,SysCoin,93.02,0.0588027,11.44,1464490.0,524443831.409,SYS
27882297.1913,Emercoin,42.89,0.697672,6.65,566387.0,39964764.5186,EMC
23666469.84,Melon,33.42,39.4836,9.27,264794.0,599400.0,MLN
21832868.3682,Storjcoin X,11.39,0.426647,4.06,237769.0,51173144.0,SJCX
20350214.8143,Komodo,25.36,0.201686,6.77,95958.4,100900483.0,KMD
18672621.533,Ark,11.32,0.19735,-0.30,240054.0,94616780.0,ARK
