available,next_release,country,label_urls,last_release,label,label_img_url,article,vinyl
,,DE,%21K7__L27670,,!K7,/labels/x/12701.gif, 1, 1
,,GB,__L3936,,#,/labels/x/10994.gif, 7, 7
,,GB,%24tateside__L12701,,$tateside,/labels/x/30537.gif, 8, 8
,,DE,nd_Music__L10994,,&nd Music,/labels/x/30368.gif, 10, 9
,,US,_US__L30537,,( US),/labels/x/24514.gif, 51, 51
,,NL,312__L30368,,(312),/labels/x/23687.gif, 3, 3
,,GB,Emotional_Especial__L24514,,(Emotional) Especial,/labels/x/23228.gif, 34, 33
,,GB,MS__L23687,,(MS),/labels/x/30100.gif, 7, 7
,,SE,%2B__L23228,,+,/labels/x/26419.gif, 15, 15
,,GB,elliot_project_records__L30100,,.elliot project records,/labels/x/16431.gif, 3, 3
,,US,0000__L26419,,0000,/labels/x/25716.gif, 2, 2
,,IT,011_Records__L4329,,011 Records,/labels/x/16870.gif, 3, 3
,,GB,013_Records__L16431,,013 Records,/labels/x/27728.gif, 1, 1
,,IT,030_Wax__L25716,,030 Wax,/labels/x/20392.gif, 2, 2
,,NL,030303__L16870,,030303,/labels/x/27572.gif, 15, 15
,,NL,030xp_Recordings__L27728,,030xp Recordings,/labels/x/227.gif, 1, 1
,,DE,040_Recordings__L20392,,040 Recordings,/labels/x/27058.gif, 19, 17
,,US,075-WAX__L27572,,075-WAX,/labels/x/5965.gif, 1, 1
,,DE,0815_Records__L227,,08/15 Records,/labels/x/29657.gif, 17, 17
,,GB,1_Drop__L27058,,1 Drop,/labels/x/24215.gif, 4, 4
,,US,1_Shot__L5965,,1 Shot,/labels/x/16513.gif, 9, 9
,,FR,1_Trax__L14060,,1 Trax,/labels/x/29401.gif, 1, 1
,,GB,1-2-3-4_Records__L29657,,1-2-3-4 Records,/labels/x/1151.gif, 1, 1
,,GB,1-800_Dinosaur__L24215,,1-800 Dinosaur,/labels/x/24165.gif, 7, 6
,,GB,10_Bag_Records__L14961,,10 Bag Records,/labels/x/32256.gif, 7, 7
,,DE,10_Inch__L16513,,10 Inch,/labels/x/23087.gif, 6, 6
,,GB,10_Inches_of_Pleasure__L29401,,10 Inches of Pleasure,/labels/x/10577.gif, 2, 2
,,GB,10_Kilo__L1151,,10 Kilo,/labels/x/21203.gif, 45, 44
,,JP,10_LABEL__L24165,,10 LABEL,/labels/x/14639.gif, 5, 5
,,IT,10_Large_Recordings__L23466,,10 Large Recordings,/labels/x/28631.gif, 1, 1
,,GB,10_Thirty_Records__L25796,,10 Thirty Records,/labels/x/24536.gif, 2, 2
,,DE,10_Years__L32256,,10 Years,/labels/x/27401.gif, 1, 1
,,GB,100_Hits__L14364,,100 Hits,/labels/x/27604.gif, 147, 1
,,GB,100_YEARS__L24045,,100 YEARS,/labels/x/28326.gif, 2, 2
,,GB,100__L23087,,100%,/labels/x/25007.gif, 9, 4
,,DE,100_HALAL__L12518,,100% HALAL,/labels/x/23124.gif, 1, 1
