"timestamp","full_sq","life_sq","floor","max_floor","material","build_year","num_room","kitch_sq","state","product_type","sub_area","kremlin_km"
"1","2015-07-01",39,20.7,2,9,1,1998,1,8.9,3,"Investment","Juzhnoe Butovo",24.77908165
"2","2015-07-01",79.2,64,8,17,1,2016,3,10,1,"OwnerOccupier","Poselenie Vnukovskoe",21.72262007
"3","2015-07-01",40.5,25.1,3,5,2,1960,2,4.8,2,"Investment","Perovo",10.32072754
"4","2015-07-01",62.8,36,17,17,1,2016,2,9.6,3,"OwnerOccupier","Poselenie Voskresenskoe",26.96046256
"5","2015-07-01",40,40,17,17,1,2016,1,10,1,"OwnerOccupier","Poselenie Vnukovskoe",21.90579236
"6","2015-07-01",48.43,38.78,21,22,1,2015,1,10.3,1,"OwnerOccupier","Filevskij Park",6.514713376
"7","2015-07-01",38.8,39.2,15,17,1,2016,1,9.8,1,"OwnerOccupier","Solncevo",16.95715522
"8","2015-07-01",43.1,40.46,5,17,1,2016,1,9.6,1,"OwnerOccupier","Poselenie Sosenskoe",20.34154585
"9","2015-07-01",45.4,28.5,9,12,5,1972,2,6,2,"Investment","Vnukovo",24.44837118
"10","2015-07-01",43.3,43.3,7,22,1,2016,1,10,1,"OwnerOccupier","Poselenie Vnukovskoe",23.99671721
"11","2015-07-01",37.26,25,4,15,4,2017,1,8,1,"OwnerOccupier","Nagatinskij Zaton",8.532480294
"12","2015-07-01",39.2,10,11,17,4,2015,1,10,1,"OwnerOccupier","Poselenie Vnukovskoe",21.90579236
"13","2015-07-01",37.04,37.04,14,15,6,2015,1,14,1,"OwnerOccupier","Poselenie Vnukovskoe",25.60860086
"14","2015-07-01",39.8,18.9,4,17,1,2013,1,9.9,3,"Investment","Nekrasovka",19.6854212
"15","2015-07-01",69.3,51.46,7,17,1,2016,2,10,1,"OwnerOccupier","Poselenie Filimonkovskoe",26.09730228
"16","2015-07-02",69.3,64.67,10,17,1,2015,2,11.4,1,"OwnerOccupier","Poselenie Sosenskoe",20.19708984
"17","2015-07-02",117.4,67.7,10,17,1,2016,3,10,1,"OwnerOccupier","Izmajlovo",10.54874495
"18","2015-07-02",94.5,61.9,2,12,1,2000,4,10.3,1,"Investment","Akademicheskoe",6.581627608
"19","2015-07-02",62.5,32.6,7,17,1,2013,2,12.9,2,"Investment","Nekrasovka",19.79419822
"20","2015-07-02",77.7,52.6,2,5,5,1958,3,8.5,3,"Investment","Akademicheskoe",8.012256965
"21","2015-07-02",64,64,4,17,1,2016,2,10,1,"OwnerOccupier","Poselenie Vnukovskoe",21.90579236
"22","2015-07-02",67.2,45.1,14,16,5,1978,3,7.7,2,"Investment","Zjuzino",9.523424156
"23","2015-07-02",99.88,64,4,9,1,2015,3,9.1,1,"OwnerOccupier","Zapadnoe Degunino",15.86904434
"24","2015-07-02",79.2,64,6,17,1,2016,3,10,1,"OwnerOccupier","Novo-Peredelkino",20.39230629
"25","2015-07-02",32.5,18.7,4,9,1,1971,1,6.6,1,"Investment","Veshnjaki",13.29599273
"26","2015-07-02",65.1,46,11,12,1,1978,3,6.5,3,"Investment","Altuf'evskoe",14.17636247
"27","2015-07-02",74,41.7,17,17,1,2016,2,12.8,1,"OwnerOccupier","Levoberezhnoe",15.48281443
"28","2015-07-02",45.8,29.6,6,9,1,1969,2,6.1,3,"Investment","Hovrino",14.0331965
"29","2015-07-02",32,32,15,17,1,2017,1,10,1,"OwnerOccupier","Poselenie Shherbinka",28.15157234
"30","2015-07-02",37.8,19.1,13,16,1,1982,1,8.1,3,"Investment","Filevskij Park",8.486069543
"31","2015-07-02",39.2,21,5,14,1,1991,1,8.6,2,"Investment","Mozhajskoe",11.71606685
"32","2015-07-02",81.91,60,5,25,4,2016,3,15,1,"OwnerOccupier","Mitino",17.94890404
"33","2015-07-02",53.82,52.33,3,3,1,2016,2,10,1,"OwnerOccupier","Poselenie Novofedorovskoe",51.34968656
"34","2015-07-02",39.2,40,5,17,1,2016,1,9.6,1,"OwnerOccupier","Poselenie Vnukovskoe",22.37012991
"35","2015-07-02",51.7,46.8,5,17,6,2016,2,10,1,"OwnerOccupier","Solncevo",16.95715522
"36","2015-07-02",53.7,31.6,3,16,1,1977,2,8.2,2,"Investment","Levoberezhnoe",16.36532797
"37","2015-07-02",57.27,37,4,24,6,2017,2,9,1,"OwnerOccupier","Nagatinskij Zaton",8.532480294
"38","2015-07-03",44.9,28.3,4,14,1,1972,2,5.7,2,"Investment","Babushkinskoe",12.08791901
"39","2015-07-03",41.5,20.7,12,14,1,1992,1,8.6,2,"Investment","Mitino",17.71852563
"40","2015-07-03",39.2,39.2,17,17,1,2017,1,8.6,1,"OwnerOccupier","Solncevo",16.95715522
"41","2015-07-03",69.42,69.42,1,3,1,2017,1,10,1,"OwnerOccupier","Poselenie Novofedorovskoe",50.91185712
"42","2015-07-03",55.13,52.3,13,17,1,2016,2,10,1,"OwnerOccupier","Nagatinskij Zaton",8.532480294
"43","2015-07-03",60.06,55,23,25,4,2016,2,10,1,"OwnerOccupier","Poselenie Moskovskij",23.37369741
"44","2015-07-03",59.56,34,19,21,1,2016,2,14,1,"OwnerOccupier","Filevskij Park",6.514713376
"45","2015-07-03",35.82,27.86,14,17,1,2015,1,8,1,"OwnerOccupier","Filevskij Park",7.14131138
"46","2015-07-03",31.2,18.8,2,5,2,1964,1,6,2,"Investment","Preobrazhenskoe",8.39506303
"47","2015-07-03",40.21,33,10,16,1,2015,1,9.3,1,"OwnerOccupier","Sviblovo",10.51446841
"48","2015-07-03",37.9,18.9,11,16,1,1983,1,9.6,3,"Investment","Severnoe Medvedkovo",15.82309464
"49","2015-07-03",69.79,64,1,17,1,2016,2,10.5,1,"OwnerOccupier","Poselenie Moskovskij",16.00085262
"50","2015-07-03",38.6,23.2,6,12,5,1969,2,6.2,2,"Investment","Vojkovskoe",10.55692343
"51","2015-07-03",54.5,32.2,2,17,1,1999,2,9.3,3,"Investment","Kon'kovo",13.79869273
"52","2015-07-04",37,22.7,6,12,1,1964,2,7.5,2,"Investment","Arbat",1.306860657
"53","2015-07-04",38.5,38.5,3,17,1,2016,1,8.5,1,"OwnerOccupier","Poselenie Vnukovskoe",22.2224338
"54","2015-07-04",56.4,56.4,2,12,6,2015,2,9,1,"OwnerOccupier","Poselenie Sosenskoe",19.52527113
"55","2015-07-04",39.3,20.1,22,22,1,2000,1,10.1,3,"Investment","Ljublino",12.18878426
"56","2015-07-04",39.2,22.3,10,12,5,1966,2,6.9,2,"Investment","Preobrazhenskoe",7.988774995
"57","2015-07-04",36.9,22.6,5,9,2,1963,1,7.3,3,"Investment","Pokrovskoe Streshnevo",13.53529624
"58","2015-07-04",76.7,45.9,15,17,1,2004,3,10.2,4,"Investment","Nagornoe",9.552497284
"59","2015-07-04",49.8,49.8,10,12,4,2016,1,10,1,"OwnerOccupier","Poselenie Sosenskoe",20.52526418
"60","2015-07-06",57,41.5,8,9,2,1970,3,5.6,3,"Investment","Sokol",8.287106693
"61","2015-07-06",63.4,20,9,17,4,2016,2,20,1,"OwnerOccupier","Poselenie Vnukovskoe",21.90579236
"62","2015-07-06",55.92,38,6,24,6,2017,2,9,1,"OwnerOccupier","Nagatinskij Zaton",8.532480294
"63","2015-07-06",61,61,9,12,4,2016,2,10,1,"OwnerOccupier","Poselenie Sosenskoe",20.19708984
"64","2015-07-06",75.3,44.5,17,17,1,1994,3,10.1,2,"Investment","Otradnoe",12.24406366
"65","2015-07-06",29.8,3.06,3,5,2,1960,1,5.3,2,"Investment","Juzhnoe Tushino",15.40429374
"66","2015-07-06",104.28,38.8,2,2,1,2015,3,13.1,1,"OwnerOccupier","Tverskoe",0.072896553
"67","2015-07-06",56.87,37,15,24,6,2017,2,12,1,"OwnerOccupier","Nagatinskij Zaton",8.532480294
"68","2015-07-06",44,27.2,2,5,2,1965,2,5.7,2,"Investment","Taganskoe",4.210372752
"69","2015-07-06",34.8,34.8,3,3,1,2016,1,9.2,1,"OwnerOccupier","Poselenie Novofedorovskoe",51.34968656
"70","2015-07-06",34.8,19.5,8,14,5,1973,1,9.5,2,"Investment","Mozhajskoe",12.95675879
"71","2015-07-06",63.9,45.1,8,12,1,1972,3,6.7,2,"Investment","Birjulevo Vostochnoe",17.35741174
"72","2015-07-06",46.3,28.7,4,9,1,1974,2,6.3,2,"Investment","Danilovskoe",3.821091726
"73","2015-07-06",41.9,41.9,9,17,1,2015,1,9,1,"OwnerOccupier","Poselenie Sosenskoe",19.22578085
"74","2015-07-06",61.7,29.78,7,16,1,2015,2,10,1,"OwnerOccupier","Sviblovo",10.51446841
"75","2015-07-06",49.1,49.1,10,17,1,2016,1,11,1,"OwnerOccupier","Poselenie Sosenskoe",20.09291717
"76","2015-07-06",43.3,45.9,19,22,1,2015,1,10.3,1,"OwnerOccupier","Poselenie Vnukovskoe",21.70767232
"77","2015-07-06",75.3,45.4,10,17,1,2001,3,9.5,3,"Investment","Teplyj Stan",15.78644668
"78","2015-07-07",43.3,20,10,22,4,2016,1,10,1,"OwnerOccupier","Poselenie Vnukovskoe",22.45027177
"79","2015-07-07",34.02,34.02,3,3,1,2016,1,10.2,1,"OwnerOccupier","Poselenie Novofedorovskoe",51.34968656
"80","2015-07-07",41.6,27.9,9,9,2,1964,2,5.2,2,"Investment","Savelovskoe",4.76298581
"81","2015-07-07",76.9,46.1,13,17,1,1993,3,10.1,2,"Investment","Mitino",18.41428008
"82","2015-07-07",61.6,61.6,16,17,1,2016,2,9.5,1,"OwnerOccupier","Solncevo",16.95715522
"83","2015-07-07",47.17,47.17,6,25,1,2015,1,10,1,"OwnerOccupier","Filevskij Park",6.514713376
"84","2015-07-07",62.7,42.4,1,12,5,1966,3,9.1,2,"Investment","Rostokino",8.624202378
"85","2015-07-07",54,32.5,17,17,1,1994,2,9.1,4,"Investment","Mitino",17.94890404
"86","2015-07-07",38.2,19.6,1,16,1,1983,1,9.8,2,"Investment","Ostankinskoe",6.461991421
"87","2015-07-07",32.6,18.8,9,9,1,1969,1,6.7,2,"Investment","Alekseevskoe",6.542027967
"88","2015-07-07",46.9,30,8,9,1,1976,2,5.9,3,"Investment","Otradnoe",12.89820231
"89","2015-07-07",62.4,46.3,23,19,1,2016,2,10.1,1,"OwnerOccupier","Nagornoe",8.626075639
"90","2015-07-07",40,46.4,9,17,1,2016,2,10,1,"OwnerOccupier","Tverskoe",0.072896553
"91","2015-07-08",46.2,24.9,7,9,2,1966,2,7.7,3,"Investment","Rostokino",8.695150962
"92","2015-07-08",84.8,45.8,12,17,1,2011,3,9.7,2,"Investment","Nekrasovka",19.4369908
