district,month_year,price,date,nominal_index
central,Aug-11,214349.2537,8/1/11,1
central,Sep-11,225971.855,9/1/11,1.054222728
central,Oct-11,235573.1343,10/1/11,1.099015416
central,Nov-11,224371.6418,11/1/11,1.04675728
central,Dec-11,224607.4627,12/1/11,1.047857451
central,Jan-12,227437.3134,1/1/12,1.061059507
central,Feb-12,220893.2836,2/1/12,1.030529753
central,Mar-12,219301.4925,3/1/12,1.023103597
central,Apr-12,223546.2687,4/1/12,1.04290668
central,May-12,231642.7861,5/1/12,1.080679228
central,Jun-12,242081.791,6/1/12,1.129380144
central,Jul-12,240525.3731,7/1/12,1.122119013
central,Aug-12,233922.3881,8/1/12,1.091314217
central,Sep-12,231416.791,9/1/12,1.079624897
central,Oct-12,232035.8209,10/1/12,1.082512847
central,Nov-12,236555.7214,11/1/12,1.103599463
central,Dec-12,237695.5224,12/1/12,1.108916958
central,Jan-13,238402.9851,1/1/13,1.112217472
central,Feb-13,236634.3284,2/1/13,1.103966187
central,Mar-13,240525.3731,3/1/13,1.122119013
central,Apr-13,243355.2239,4/1/13,1.135321069
central,May-13,240761.194,5/1/13,1.123219185
central,Jun-13,244416.4179,6/1/13,1.14027184
central,Jul-13,248307.4627,7/1/13,1.158424666
central,Aug-13,247069.403,8/1/13,1.152648767
central,Sep-13,245300.7463,9/1/13,1.144397482
central,Oct-13,242058.209,10/1/13,1.129270127
central,Nov-13,248838.0597,11/1/13,1.160900052
central,Dec-13,255853.7313,12/1/13,1.193630147
central,Jan-14,258035.0746,1/1/14,1.203806732
central,Feb-14,265817.1642,2/1/14,1.240112385
central,Mar-14,271034.7015,3/1/14,1.264453674
central,Apr-14,270946.2687,4/1/14,1.26404111
central,May-14,273776.1194,5/1/14,1.277243166
central,Jun-14,271653.7313,6/1/14,1.267341624
central,Jul-14,276605.9701,7/1/14,1.290445221
central,Aug-14,284476.4925,8/1/14,1.327163438
central,Sep-14,291639.5522,9/1/14,1.360581141
central,Oct-14,301013.4328,10/1/14,1.40431295
central,Nov-14,317009.9502,11/1/14,1.478941236
central,Dec-14,341471.4552,12/1/14,1.593061087
central,Jan-15,337580.4104,1/1/15,1.574908261
central,Feb-15,346703.7313,2/1/15,1.617471138
central,Mar-15,325892.5373,3/1/15,1.520381021
central,Apr-15,312686.5672,4/1/15,1.458771429
central,May-15,318464.1791,5/1/15,1.485725626
central,Jun-15,330514.6269,6/1/15,1.541944379
central,Jul-15,349676.7591,7/1/15,1.631341155
central,Aug-15,355488.0597,8/1/15,1.658452519
central,Sep-15,345229.8507,9/1/15,1.610595067
central,Oct-15,326835.8209,10/1/15,1.524781707
central,Nov-15,318346.2687,11/1/15,1.48517554
central,Dec-15,332495.5224,12/1/15,1.551185818
central,Jan-16,348059.7015,1/1/16,1.623797123
central,Feb-16,348413.4328,2/1/16,1.62544738
central,Mar-16,345524.6269,3/1/16,1.611970281
central,Apr-16,350889.5522,4/1/16,1.636999178
central,May-16,363889.1791,5/1/16,1.697646121
central,Jun-16,367868.6567,6/1/16,1.716211511
central,Jul-16,363977.6119,7/1/16,1.698058685
central,Aug-16,364861.9403,8/1/16,1.702184327
central,Sep-16,367691.791,9/1/16,1.715386383
central,Oct-16,360794.0299,10/1/16,1.683206373
central,Nov-16,357964.1791,11/1/16,1.670004317
central,Dec-16,347705.9701,12/1/16,1.622146866
central,Jan-17,336032.8358,1/1/17,1.567688387
central,Feb-17,335089.5522,2/1/17,1.563287702
central,Mar-17,326835.8209,3/1/17,1.524781707
central,Apr-17,319997.0149,4/1/17,1.492876739
central,May-17,323298.5075,5/1/17,1.508279137
eastern,Aug-11,130527,8/1/11,1
eastern,Sep-11,138585,9/1/11,1.061734354
eastern,Oct-11,143182.8,10/1/11,1.09695925
eastern,Nov-11,137874,11/1/11,1.056287205
eastern,Dec-11,139888.5,12/1/11,1.071720793
eastern,Jan-12,142140,1/1/12,1.088970098
eastern,Feb-12,140125.5,2/1/12,1.07353651
eastern,Mar-12,138348,3/1/12,1.059918638
eastern,Apr-12,139296,4/1/12,1.067181503
eastern,May-12,142614,5/1/12,1.092601531
eastern,Jun-12,149629.2,6/1/12,1.146346733
eastern,Jul-12,149961,7/1/12,1.148888736
eastern,Aug-12,146406,8/1/12,1.121652991
eastern,Sep-12,143799,9/1/12,1.101680112
eastern,Oct-12,143680.5,10/1/12,1.100772254
eastern,Nov-12,146998.5,11/1/12,1.126192282
eastern,Dec-12,148302,12/1/12,1.136178722
eastern,Jan-13,148302,1/1/13,1.136178722
eastern,Feb-13,148539,2/1/13,1.137994438
eastern,Mar-13,151620,3/1/13,1.16159875
eastern,Apr-13,153990,4/1/13,1.179755913
eastern,May-13,153160.5,5/1/13,1.173400906
eastern,Jun-13,153516,6/1/13,1.17612448
eastern,Jul-13,155175,7/1/13,1.188834494
eastern,Aug-13,153397.5,8/1/13,1.175216622
eastern,Sep-13,155175,9/1/13,1.188834494
eastern,Oct-13,152686.5,10/1/13,1.169769473
eastern,Nov-13,154701,11/1/13,1.185203061
eastern,Dec-13,158019,12/1/13,1.210623089
eastern,Jan-14,157545,1/1/14,1.206991657
eastern,Feb-14,159204,2/1/14,1.219701671
eastern,Mar-14,158256,3/1/14,1.212438806
eastern,Apr-14,155767.5,4/1/14,1.193373785
eastern,May-14,155175,5/1/14,1.188834494
eastern,Jun-14,156360,6/1/14,1.197913075
eastern,Jul-14,156597,7/1/14,1.199728792
eastern,Aug-14,161100,8/1/14,1.234227401
eastern,Sep-14,165721.5,9/1/14,1.269633869
eastern,Oct-14,168684,10/1/14,1.292330322
eastern,Nov-14,174846,11/1/14,1.339538946
eastern,Dec-14,182904,12/1/14,1.4012733
eastern,Jan-15,181989.8571,1/1/15,1.394269823
eastern,Feb-15,188971.2,2/1/15,1.447755637
eastern,Mar-15,177571.5,3/1/15,1.360419683
eastern,Apr-15,163944,4/1/15,1.256015997
eastern,May-15,158730,5/1/15,1.216070238
eastern,Jun-15,167690.8571,6/1/15,1.284721607
eastern,Jul-15,172160,7/1/15,1.318960828
eastern,Aug-15,168210,8/1/15,1.28869889
eastern,Sep-15,164062.5,9/1/15,1.256923855
eastern,Oct-15,156170.4,10/1/15,1.196460502
eastern,Nov-15,156202,11/1/15,1.196702598
eastern,Dec-15,157308,12/1/15,1.205175941
eastern,Jan-16,158019,1/1/16,1.210623089
eastern,Feb-16,155649,2/1/16,1.192465927
eastern,Mar-16,152568,3/1/16,1.168861615
eastern,Apr-16,148065,4/1/16,1.134363005
eastern,May-16,150553.5,5/1/16,1.153428026
eastern,Jun-16,152568,6/1/16,1.168861615
eastern,Jul-16,151146,7/1/16,1.157967317
eastern,Aug-16,150672,8/1/16,1.154335885
eastern,Sep-16,152568,9/1/16,1.168861615
eastern,Oct-16,153516,10/1/16,1.17612448
eastern,Nov-16,153516,11/1/16,1.17612448
eastern,Dec-16,151383,12/1/16,1.159783033
eastern,Jan-17,149013,1/1/17,1.141625871
eastern,Feb-17,148302,2/1/17,1.136178722
eastern,Mar-17,147354,3/1/17,1.128915856
eastern,Apr-17,146880,4/1/17,1.125284424
eastern,May-17,147591,5/1/17,1.130731573
