Date,P,D,E,CPI,T10,RP,RD,RE,CAPE
1/15/1871,4.44,0.26,0.40,12.46,5.32,87.30,5.11,7.86,NA
2/15/1871,4.50,0.26,0.40,12.84,5.32,85.86,4.96,7.63,NA
3/15/1871,4.61,0.26,0.40,13.03,5.33,86.67,4.89,7.52,NA
4/15/1871,4.74,0.26,0.40,12.56,5.33,92.49,5.07,7.81,NA
5/15/1871,4.86,0.26,0.40,12.27,5.33,97.04,5.19,7.99,NA
6/15/1871,4.82,0.26,0.40,12.08,5.34,97.75,5.27,8.11,NA
7/15/1871,4.73,0.26,0.40,12.08,5.34,95.93,5.27,8.11,NA
8/15/1871,4.79,0.26,0.40,11.89,5.34,98.70,5.36,8.24,NA
9/15/1871,4.84,0.26,0.40,12.18,5.35,97.39,5.23,8.05,NA
10/15/1871,4.59,0.26,0.40,12.37,5.35,90.94,5.15,7.93,NA
11/15/1871,4.64,0.26,0.40,12.37,5.35,91.93,5.15,7.93,NA
12/15/1871,4.74,0.26,0.40,12.65,5.36,91.80,5.04,7.75,NA
1/15/1872,4.86,0.26,0.40,12.65,5.36,94.12,5.10,7.79,NA
2/15/1872,4.88,0.27,0.41,12.65,5.38,94.51,5.16,7.84,NA
3/15/1872,5.04,0.27,0.41,12.84,5.40,96.16,5.15,7.77,NA
4/15/1872,5.18,0.27,0.41,13.13,5.42,96.68,5.10,7.65,NA
5/15/1872,5.18,0.28,0.41,13.13,5.43,96.68,5.16,7.70,NA
6/15/1872,5.13,0.28,0.42,13.03,5.45,96.45,5.26,7.80,NA
7/15/1872,5.10,0.28,0.42,12.84,5.47,97.30,5.41,7.97,NA
8/15/1872,5.04,0.29,0.42,12.94,5.49,95.45,5.43,7.95,NA
9/15/1872,4.95,0.29,0.42,13.03,5.51,93.06,5.45,7.94,NA
10/15/1872,4.97,0.29,0.43,12.75,5.53,95.53,5.64,8.17,NA
11/15/1872,4.95,0.30,0.43,13.13,5.54,92.39,5.54,7.98,NA
12/15/1872,5.07,0.30,0.43,12.94,5.56,96.02,5.68,8.14,NA
